polity_name,polity_name_FT,start_year,end_year,comments_ft,polity_code,polity_name_full,polity_code_full,polity_name_FAO,polity_name_source,polity_code_source
Tunisia,Tunisia,1881,1938,NA,NA,Tunisia,NA,NA,FT,FT
Zanzibar,Zanzibar,1800,1938,British protectorate 1890; present-day Tanzania,NA,Zanzibar,NA,NA,FT,FT
Argentina,Argentina,1800,1938,until 1811 Spanish colony (Viceroyalty Plata),NA,Argentina,NA,NA,FT,FT
Bahamas,Bahamas,1800,1938,NA,NA,Bahamas,NA,NA,FT,FT
Barbados,Barbados,1800,1938,NA,NA,Barbados,NA,NA,FT,FT
Bermuda,Bermuda,1800,1938,NA,NA,Bermuda,NA,NA,FT,FT
Bolivia,Bolivia,1825,1938,until 1825 Spanish colony (Viceroyalty de la Plata),NA,Bolivia,NA,NA,FT,FT
Brazil,Brazil,1800,1938,NA,NA,Brazil,NA,NA,FT,FT
British Guiana,British Guiana,1800,1938,"Including Berbice, Demerara and Essequebio (independent colonies 1802-1831); now Guyana",NA,British Guiana,NA,NA,FT,FT
British Honduras (Belize),British Honduras (Belize),1800,1938,"quasi independent  until 1862, then British colony. Present-day Belize",NA,British Honduras (Belize),NA,NA,FT,FT
Canada,Canada,1866,1938,"Sum of Canada (Ports of Quebec and Montreal), Nova Scotia and Cape Breton, New Brunswick and Prince Edward Island from 1827-1867.",NA,Canada,NA,NA,FT,FT
British Columbia,British Columbia,1858,1866,Joint estimate with Canada,NA,British Columbia,NA,NA,FT,FT
Chile,Chile,1810,1938,Until 1810 Spanish colony (viceroyalty de Peru),NA,Chile,NA,NA,FT,FT
Colombia,Colombia,1800,1938,until 1811 spanish colony (Viceroyalty New Granada),NA,Colombia,NA,NA,FT,FT
Costa Rica,Costa Rica,1800,1938,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America,NA,Costa Rica,NA,NA,FT,FT
Cuba,Cuba,1800,1938,NA,NA,Cuba,NA,NA,FT,FT
Danish Virgin Islands,Danish Virgin Islands,1800,1938,NA,NA,Danish Virgin Islands,NA,NA,FT,FT
Dominican Republic,Dominican Republic,1800,1938,NA,NA,Dominican Republic,NA,NA,FT,FT
Dutch Guayana,Dutch Guayana,1800,1938,present-day Suriname,NA,Dutch Guayana,NA,NA,FT,FT
