polity_code,polity_name,polity_name_full,polity_code_full,polity_name_FAO,polity_name_FT,polity_name_source,polity_code_source,start_year,end_year,Comments FT
BHS,Bahamas,Bahamas,BHS,Bahamas,Bahamas,FAOSTAT,ISO3,NA,NA,NA
BHR,Bahrain,Bahrain,BHR,Bahrain,Bahrain,FAOSTAT,ISO3,NA,NA,NA
BGD,Bangladesh,Bangladesh,BGD,Bangladesh,NA,FAOSTAT,ISO3,NA,NA,NA
BRB,Barbados,Barbados,BRB,Barbados,Barbados,FAOSTAT,ISO3,NA,NA,NA
BLR,Belarus,Belarus,BLR,Belarus,NA,FAOSTAT,ISO3,1992,NA,NA
BEL,Belgium,Belgium,BEL,Belgium,Belgium,FAOSTAT,ISO3,2000,NA,NA
BLX,Belgium-Luxembourg,Belgium-Luxembourg,BLX,Belgium-Luxembourg,NA,FAOSTAT,ISO3,NA,1999,NA
BLZ,Belize,Belize,BLZ,Belize,NA,FAOSTAT,ISO3,NA,NA,NA
BEN,Benin,Benin,BEN,Benin,NA,FAOSTAT,ISO3,NA,NA,NA
BOL,Bolivia,Bolivia,BOL,Bolivia (Plurinational State of),Bolivia,FAOSTAT shortened,ISO3,NA,NA,NA
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,NA,FAOSTAT,ISO3,1992,NA,NA
BWA,Botswana,Botswana,BWA,Botswana,NA,FAOSTAT,ISO3,NA,NA,NA
BRA,Brazil,Brazil,BRA,Brazil,Brazil,FAOSTAT,ISO3,NA,NA,NA
BRN,Brunei Darussalam,Brunei Darussalam,BRN,Brunei Darussalam,NA,FAOSTAT,ISO3,NA,NA,NA
BGR,Bulgaria,Bulgaria,BGR,Bulgaria,Bulgaria,FAOSTAT,ISO3,NA,NA,NA
BFA,Burkina Faso,Burkina Faso,BFA,Burkina Faso,NA,FAOSTAT,ISO3,NA,NA,NA
BDI,Burundi,Burundi,BDI,Burundi,NA,FAOSTAT,ISO3,NA,NA,NA
CPV,Cabo Verde,Cabo Verde,CPV,Cabo Verde,NA,FAOSTAT,ISO3,NA,NA,NA
KHM,Cambodia,Cambodia,KHM,Cambodia,NA,FAOSTAT,ISO3,NA,NA,NA
CMR,Cameroon,Cameroon,CMR,Cameroon,Cameroon,FAOSTAT,ISO3,NA,NA,NA
CAN,Canada,Canada,CAN,Canada,Canada,FAOSTAT,ISO3,NA,NA,NA
CAF,Central African Republic,Central African Republic,CAF,Central African Republic,NA,FAOSTAT,ISO3,NA,NA,NA
TCD,Chad,Chad,TCD,Chad,NA,FAOSTAT,ISO3,NA,NA,NA
CHL,Chile,Chile,CHL,Chile,Chile,FAOSTAT,ISO3,NA,NA,NA
HKG,"China, Hong Kong SAR","China, Hong Kong SAR",HKG,"China, Hong Kong SAR",NA,FAOSTAT,ISO3,NA,NA,NA
MAC,"China, Macao SAR","China, Macao SAR",MAC,"China, Macao SAR",NA,FAOSTAT,ISO3,NA,NA,NA
CHN,"China, mainland","China, mainland",CHN,"China, mainland",NA,FAOSTAT,ISO3,NA,NA,NA
TWN,"China, Taiwan","China, Taiwan",TWN,"China, Taiwan Province of",NA,FAOSTAT,ISO3,NA,NA,NA
COL,Colombia,Colombia,COL,Colombia,Colombia,FAOSTAT,ISO3,NA,NA,NA
COG,Congo,Congo,COG,Congo,NA,FAOSTAT,ISO3,NA,NA,NA
CRI,Costa Rica,Costa Rica,CRI,Costa Rica,Costa Rica,FAOSTAT,ISO3,NA,NA,NA
HRV,Croatia,Croatia,HRV,Croatia,NA,FAOSTAT,ISO3,1992,NA,NA
CUB,Cuba,Cuba,CUB,Cuba,Cuba,FAOSTAT,ISO3,NA,NA,NA
CYP,Cyprus,Cyprus,CYP,Cyprus,Cyprus,FAOSTAT,ISO3,NA,NA,NA
CZE,Czechia,Czechia,CZE,Czechia,NA,FAOSTAT,ISO3,1993,NA,NA
CSK,Czechoslovakia,Czechoslovakia,CSK,Czechoslovakia,Czechoslovakia,FAOSTAT,ISO3,NA,1992,NA
DNK,Denmark,Denmark,DNK,Denmark,Denmark,FAOSTAT,ISO3,NA,NA,NA
DJI,Djibouti,Djibouti,DJI,Djibouti,NA,FAOSTAT,ISO3,NA,NA,NA
DMA,Dominica,Dominica,DMA,Dominica,NA,FAOSTAT,ISO3,NA,NA,NA
DOM,Dominican Republic,Dominican Republic,DOM,Dominican Republic,Dominican Republic,FAOSTAT,ISO3,NA,NA,NA
COD,DR Congo,DR Congo,COD,Democratic Republic of the Congo,NA,FAOSTAT shortened,ISO3,NA,NA,NA
ECU,Ecuador,Ecuador,ECU,Ecuador,Ecuador,FAOSTAT,ISO3,NA,NA,NA
EGY,Egypt,Egypt,EGY,Egypt,Egypt,FAOSTAT,ISO3,NA,NA,NA
