polity_code,polity_name,polity_name_full,polity_code_full,polity_name_FAO,polity_name_FT,polity_name_source,polity_code_source,start_year,end_year,Comments FT
AFG,Afghanistan,Afghanistan,AFG,Afghanistan,Afghanistan,FAOSTAT,ISO3,1800,NA,NA
ALB,Albania,Albania,ALB,Albania,Albania,FAOSTAT,ISO3,1913,NA,NA
DZA,Algeria,Algeria,DZA,Algeria,Algeria,FAOSTAT,ISO3,NA,NA,NA
AGO,Angola,Angola,AGO,Angola,Angola,FAOSTAT,ISO3,NA,NA,NA
ATG,Antigua and Barbuda,Antigua and Barbuda,ATG,Antigua and Barbuda,NA,FAOSTAT,ISO3,1816,NA,"in 1816 it was divided in two, with Antigua, Barbuda and Montserrat in one colony, and Saint Christopher, Nevis, Anguilla, and the Virgin Islands in another"
ARG,Argentina,Argentina,ARG,Argentina,Argentina,FAOSTAT,ISO3,NA,NA,NA
ARM,Armenia,Armenia,ARM,Armenia,NA,FAOSTAT,ISO3,1992,NA,NA
AUS,Australia,Australia,AUS,Australia,Australia,FAOSTAT,ISO3,1901,NA,NA
AUT,Austria,Austria,AUT,Austria,Austria,FAOSTAT,ISO3,NA,NA,NA
AZE,Azerbaijan,Azerbaijan,AZE,Azerbaijan,NA,FAOSTAT,ISO3,1992,NA,NA
