Year,area,Live_anim,item,feedtype,ft,Intake_DM,Intake,Supply,Loss,Loss_share
1983,Belgium-Luxembourg,Horses,DDGS Barley,crops,crops,17.4112389963398,18.9458530972141,21.0509478857934,2.10509478857934,0.0999999999999997
1985,Zambia,Goats,Grassland,grass,grass,53923.1349634668,269615.674817334,269615.674817334,0,0
2021,Tunisia,"Chickens, layers","Fish, Body Oil",animals,animals,31.702342096554,32.349328669953,35.94369852217,3.594369852217,0.1
2017,Israel,Turkeys,"Oilseed Cakes, Other",crops,crops,1397.23320263178,1554.35231589704,1727.05812877449,172.705812877449,0.1
2000,Chad,"Chickens, broilers",Other crop residues,residues,residues,10252.5444003102,11395.9367176475,12662.1519084972,1266.21519084972,0.0999999999999999
1968,Greece,Goats,Fodder vegetables and roots,residues,residues,271.390674265198,2713.90674265198,3015.45193627998,301.545193627997,0.0999999999999997
2008,Peru,"Chickens, broilers",Palmkernel Cake,crops,crops,3532.03935280176,3864.37565952053,4293.75073280059,429.375073280059,0.1
2015,Albania,Sheep,DDGS,crops,crops,32.7072485545146,36.100715843835,40.1119064931501,4.011190649315,0.1
2002,Germany,"Chickens, layers",Rape and Mustardseed,crops,crops,3109.21177013063,3409.22343216078,3788.0260357342,378.80260357342,0.1
2014,"China, mainland",Ducks,Sorghum and products,crops,crops,115611.060575823,133654.405289968,148504.894766631,14850.4894766631,0.0999999999999999
1990,Puerto Rico,Pigs,Eggs,animals,animals,0.0105047417070774,0.0445116174028703,0.0494573526698559,0.0049457352669856,0.1
1974,"China, Taiwan","Chickens, layers",Rape and Mustardseed,crops,crops,35.812482695141,39.2680731306371,43.6311923673745,4.36311923673745,0.1
1973,Iraq,Sheep,"Oilcrops, Other",crops,crops,0.0764435337197524,0.0830983245436207,0.0923314717151341,0.00923314717151341,0.1
1965,Mexico,Sheep,Rye and products,crops,crops,4.9622349704296186e-18,5.664651792727879e-18,6.29405754747542e-18,6.294057547475408e-19,0.1
1997,Honduras,"Cattle, non-dairy","Oilseed Cakes, Other",crops,crops,419.965737112928,467.19095627655,519.1010625295,51.91010625295,0.1
1993,Kazakhstan,Rabbits and hares,Sugar beet,crops,crops,1.5879316835034e-4,6.3517267340136e-4,7.057474148904e-4,7.05747414890405e-5,0.1
2012,Eswatini,Pigs,Sugar cane,crops,crops,885.088046495143,3000.2984626954,3333.66495855044,333.366495855044,0.1
1995,Algeria,"Chickens, layers",Fodder vegetables and roots,residues,residues,14072.5623163432,140725.623163432,156361.803514925,15636.1803514925,0.1
2014,Uganda,Sheep,Groundnut Cake,crops,crops,7.20547724678303,7.90074259515683,8.77860288350759,0.877860288350759,0.1
1991,France,"Cattle, non-dairy","Oilseed Cakes, Other",crops,crops,49039.4314591336,54553.9239371098,60615.4710412331,6061.5471041233,0.0999999999999998
1996,Ecuador,"Cattle, non-dairy",Barley and products,crops,crops,1.95309741928247e-13,2.20688973930222e-13,2.4520997103358e-13,2.4520997103358e-14,0.1
2008,Bulgaria,"Cattle, non-dairy",Pelagic Fish,animals,animals,233.30142326081,933.205693043241,1155.72256359255,222.516870549307,0.192534850109369
2000,Qatar,Goats,Maize and products,crops,crops,2.56983803625493e-14,2.9812506221054904e-14,3.31250069122832e-14,3.3125006912283104e-15,0.0999999999999998
1989,Burkina Faso,Asses,Other crop residues,residues,residues,15147.0533115409,16836.2948998232,27572.226449285,10735.9315494618,0.389374850420909
2003,Argentina,Geese,Wheat and products,crops,crops,11.1713835748798,12.7091963309212,14.1213292565791,1.41213292565791,0.1
2001,Romania,Goats,"Fish, Body Oil",animals,animals,0.0577541568318082,0.0589328130936819,0.0654809034374243,0.00654809034374242,0.1
2010,Jamaica,"Chickens, broilers",Sweet potatoes,crops,crops,594.889230664921,2305.77221187954,2561.9691243106,256.196912431059,0.0999999999999999
2003,Cambodia,"Cattle, dairy",Soyabean Cake,crops,crops,7.42583870022945e-15,8.438453068442551e-15,9.37605896493617e-15,9.37605896493617e-16,0.1
2004,Jamaica,"Cattle, non-dairy",Bananas,crops,crops,14.2581672891026,57.2617160204922,63.624128911658,6.3624128911658,0.1
2015,Guyana,Sheep,Maize and products,crops,crops,271.728639958279,315.230440786866,822.773936047991,507.543495261125,0.61686870843162
2010,Philippines,"Chickens, layers",Oats,crops,crops,225.907816303316,260.462509189065,289.40278798785,28.940278798785,0.1
1982,Suriname,Pigs,Peas,crops,crops,18.8898585891647,20.6183648417297,25.519911953765,4.90154711203527,0.192067555754719
2017,Lao,"Cattle, dairy",Soy hulls,residues,residues,0.287080556891364,0.31204408357757,0.541653331862583,0.229609248285014,0.423904432555518
2013,Hungary,Horses,Rye and products,crops,crops,328.652416512302,375.173991452399,416.859990502666,41.6859990502665,0.0999999999999999
1981,Australia,Ducks,Groundnut Cake,crops,crops,3.25699947630882,3.57127135560178,3.96807928400197,0.396807928400198,0.1
2012,Czechia,Pigs,Groundnut Cake,crops,crops,934.034962776005,1024.16114339474,1137.95682599416,113.795682599416,0.1
2013,Chile,Horses,Groundnut Cake,crops,crops,2.39270114323691e-14,2.62357581495275e-14,2.9150842388363804e-14,2.91508423883638e-15,0.0999999999999998
2006,"China, mainland","Cattle, dairy",Potatoes and products,crops,crops,4.57852876133244e-12,2.01697302261341e-11,2.24108113623712e-11,2.24108113623711e-12,0.0999999999999996
1998,Slovakia,Pigs,Palmkernel Cake,crops,crops,18.3106844759225,20.0335716366767,22.2595240407519,2.22595240407519,0.0999999999999998
2015,Serbia,Sheep,Soyabeans,crops,crops,1282.19905549373,1490.92913429504,2273.60159406465,782.672459769615,0.344243451364927
2008,Kazakhstan,Pigs,Sunflower seed,crops,crops,377.477582200104,403.431687424407,448.257430471564,44.8257430471564,0.1
1969,Mauritius,Rabbits and hares,"Marine Fish, Other",animals,animals,7.77418976510618e-5,3.1096759060424e-4,7.1551954603301e-4,4.0455195542876e-4,0.56539609249207
1980,Guinea-Bissau,"Cattle, dairy",Other crop residues,residues,residues,8070.71899476818,8970.78806384015,13367.5152603875,4396.72719654734,0.32891132801444
2014,Asia Other,Sheep,"Sweeteners, Other",crops,crops,0.363451869372423,0.365278260675802,0.405864734084225,0.0405864734084225,0.1
2006,South Africa,"Chickens, broilers",Groundnut Cake,crops,crops,5659.90236232541,6206.03329202347,6895.59254669275,689.559254669274,0.1
1981,Denmark,Horses,Fodder vegetables and roots,residues,residues,3439.29019314671,34392.9019314671,38214.3354794079,3821.43354794078,0.0999999999999998
1962,Netherlands,"Chickens, layers",DDGS,crops,crops,251.829153955602,277.957123571304,308.84124841256,30.884124841256,0.1
2014,Sierra Leone,"Chickens, layers",Cassava and products,crops,crops,19442.5509014124,46736.9012053184,84726.3965467294,37989.495341411,0.448378508821139
2007,Algeria,Turkeys,"Pulses, Other and products",crops,crops,5.00675233867052,5.30376307062555,5.89307007847283,0.589307007847283,0.0999999999999999
1963,Zambia,Goats,"Oilseed Cakes, Other",crops,crops,0.139460908927566,0.155143312054398,0.17238145783822,0.017238145783822,0.1
1977,Turkey,Pigs,"Oilcrops, Other",crops,crops,9.90002796177767e-5,1.076187476595e-4,1.1957638628834e-4,1.19576386288343e-5,0.0999999999999998
2005,Asia Other,"Cattle, non-dairy","Sweeteners, Other",crops,crops,1.20666575254067,1.21272939953837,1.64795351985663,0.435224120318269,0.264099754680054
1961,South Africa,Ducks,Other crop residues,residues,residues,1113.45556095909,1237.63122744619,2125.64177765334,888.010550207145,0.417761148441243
1988,Australia,"Cattle, non-dairy",Sorghum and products,crops,crops,202134.99725467,233682.077751063,259646.753056737,25964.6753056737,0.1
1979,Latin America Other,Rabbits and hares,Oats,crops,crops,5.51400804564947e-8,6.35742664755896e-8,7.06380738617663e-8,7.063807386176631e-9,0.1
2005,Ivory Coast,Goats,Groundnut Cake,crops,crops,4.85265884277467,5.32089785391959,6.82632717006423,1.50542931614464,0.22053283978923
1963,"China, Hong Kong SAR",Sheep,"Fish, Body Oil",animals,animals,1.69216140632216e-6,1.72669531257363e-6,1.91855034730404e-6,1.91855034730404e-7,0.1
2019,Afghanistan,Camels,Grassland,grass,grass,138539.046673498,692695.233367492,692695.233367492,0,0
2007,Canada,"Chickens, broilers",Cottonseed Cake,crops,crops,122.149316388403,136.86197914667,152.068865718523,15.2068865718523,0.1
2006,Republic of Moldova,"Chickens, broilers",Sugarbeet pulp,residues,residues,11325.1814356065,12682.1740600297,25009.1445686365,12326.9705086068,0.492898526567991
1973,Thailand,"Cattle, dairy",Straw,residues,residues_grazers,15115.7722699565,17265.3024214237,19183.6693571375,1918.36693571374,0.0999999999999999
1998,Romania,Ducks,Oats,crops,crops,2537.57713422775,2925.72306021647,3250.80340024053,325.080340024052,0.1
2003,Belarus,Horses,Sugar beet,crops,crops,133.0426657648,532.170663059201,591.300736732445,59.1300736732444,0.0999999999999998
2018,Germany,"Chickens, broilers",Palmkernel Cake,crops,crops,24880.144524187,27221.1646872943,30245.7385414381,3024.5738541438,0.1
2020,Kazakhstan,Geese,Onions,crops,crops,15.9652663241399,261.725677444916,290.806308272129,29.0806308272129,0.0999999999999999
2017,Spain,"Chickens, layers",Barley and products,crops,crops,401404.598425751,453564.517995199,503960.575550221,50396.057555022,0.0999999999999998
2006,Egypt,"Cattle, non-dairy",Molasses,crops,crops,3172.08908035132,4215.40077123099,4683.7786347011,468.37786347011,0.1
2007,Uzbekistan,Goats,Apples and products,crops,crops,9.18160071386792,57.3850044616745,63.7611160685272,6.37611160685271,0.0999999999999998
2005,Greece,Rabbits and hares,Sesameseed Cake,crops,crops,0.00555385913957519,0.00617839155232245,0.00687959020027993,7.0119864795747e-4,0.101924479154143
2013,Kazakhstan,"Cattle, dairy",Pelagic Fish,animals,animals,167.131406404792,668.525625619169,742.806250687966,74.2806250687965,0.0999999999999999
2012,United States of America,Ducks,Groundnut Cake,crops,crops,73.6928618329933,80.8035765712646,89.7817517458495,8.97817517458495,0.1
2015,Ethiopia,Sheep,Millet and products,crops,crops,217.770429463469,247.32587105448,276.71069005628,29.3848190018005,0.106193291613793
2007,Serbia,Geese,"Cereals, Other",crops,crops,52.861042695092,60.5799362373321,81.5123160579223,20.9323798205902,0.256800209255688
2006,France,Turkeys,Wheat and products,crops,crops,393199.350709508,447325.768725265,497028.631916961,49702.863191696,0.1
1974,Myanmar,"Cattle, dairy",Cottonseed Cake,crops,crops,430.375791889076,482.213772424735,535.793080471928,53.5793080471928,0.1
2014,Mauritania,Camels,Molasses,crops,crops,3.29088640672901,4.37327097239736,4.8591899693304,0.48591899693304,0.1
1992,Turkmenistan,Ducks,Other crop residues,residues,residues,200.436248944283,222.789457885457,542.234771899433,319.445314013976,0.58912731268592
2006,Cyprus,"Cattle, dairy",Fodder vegetables and roots,residues,residues,4.84037937647827e-14,4.84037937647827e-13,5.37819930719808e-13,5.3781993071980705e-14,0.1
1976,India,Pigs,Fodder vegetables and roots,residues,residues,63098.5935298828,630985.935298828,701095.483665365,70109.5483665365,0.1
2000,Cameroon,"Cattle, dairy",Cassava and products,crops,crops,3774.11807372974,9072.39921569649,10080.4435729961,1008.04435729961,0.1
2000,North Macedonia,"Cattle, dairy",Potatoes and products,crops,crops,919.906485647066,4052.45147862144,4502.72386513493,450.272386513493,0.1
2003,Malaysia,Sheep,Sunflowerseed Cake,crops,crops,0.0660250054900394,0.0725549510879554,0.0835556055016653,0.0110006544137099,0.131656689550178
2000,Kenya,Sheep,Molasses,crops,crops,34.7820144812363,46.2219461544669,51.3577179494077,5.13577179494077,0.1
2012,Mauritius,Geese,Other crop residues,residues,residues,116.105472002162,129.053877734896,432.544441370987,303.490563636091,0.701640189096295
1967,Honduras,"Cattle, dairy",DDGS Barley,crops,crops,3.34799864175624e-14,3.643088837602e-14,4.0478764862244505e-14,4.047876486224451e-15,0.1
2003,Indonesia,Sheep,Soy hulls,residues,residues,455.698726728072,495.324702965295,640.493518715391,145.168815750096,0.226651498427735
2003,Germany,"Chickens, layers",Sorghum and products,crops,crops,574.261722062363,663.886383887125,737.65153765236,73.7651537652358,0.0999999999999997
1999,Tajikistan,Sheep,Apples and products,crops,crops,4.37793640571865,27.3621025357416,30.402336150824,3.04023361508239,0.1
2007,North Macedonia,Pigs,DDGS,crops,crops,67.2181431873147,74.1922110235262,82.4357900261401,8.243579002614,0.0999999999999998
2021,Israel,"Chickens, broilers","Vegetables, Other",crops,crops,2152.55506123275,18088.6979935526,20098.553326169505,2009.85533261695,0.1
1979,New Zealand,"Cattle, non-dairy","Offals, Edible",animals,animals,10677.3935891465,35591.3119638216,39545.902182024,3954.5902182024,0.1
2003,Puerto Rico,"Cattle, non-dairy",Yams,crops,crops,2.7869831231698403e-15,9.2796330405211e-15,1.03107033783568e-14,1.0310703378356802e-15,0.1
1991,Finland,"Chickens, layers",Other crop residues,residues,residues,13679.2320392947,15204.7781096273,16894.1978995858,1689.41978995858,0.0999999999999998
1968,Romania,"Chickens, broilers",Oats,crops,crops,4791.73439437942,5524.67455155198,6138.5272795022,613.85272795022,0.0999999999999999
2020,Ireland,"Cattle, dairy",Straw,residues,residues_grazers,464358.396497713,530392.22900938,589324.698899312,58932.4698899312,0.1
1986,Africa Other,"Chickens, layers",Maize and products,crops,crops,821.996738672757,953.592504260738,1059.54722695638,105.954722695637,0.0999999999999999
2001,El Salvador,Sheep,DDGS,crops,crops,0.06375030155699,0.0703645712549559,0.0785510250550181,0.00818645380006224,0.104218293705631
1962,Yugoslav SFR,"Cattle, non-dairy",Groundnut Cake,crops,crops,29.3925368982732,32.2286588796855,35.8096209774284,3.58096209774284,0.1
2015,Uruguay,"Cattle, non-dairy","Pulses, Other and products",crops,crops,372752.553951307,394864.993592487,438738.88176943,43873.8881769429,0.0999999999999999
1963,Algeria,Pigs,"Vegetables, Other",crops,crops,2.24237346959439,18.8434745344066,20.9371939271185,2.09371939271185,0.1
1986,Malta,"Cattle, non-dairy","Fish, Body Oil",animals,animals,71.1529680151208,72.6050694031845,80.6722993368716,8.06722993368715,0.0999999999999998
1963,Egypt,Pigs,DDGS Barley,crops,crops,4.31332475977458,4.69349810639236,5.21499789599151,0.521499789599151,0.1
1999,Malawi,"Chickens, broilers","Pulses, Other and products",crops,crops,2437.07445364714,2581.64666699909,4348.31622289433,1766.66955589524,0.40628819647328
1970,Indonesia,"Chickens, broilers",Sugar beet,crops,crops,219.078343014203,876.313372056811,973.681524507568,97.3681524507567,0.1
2021,Senegal,Sheep,DDGS Barley,crops,crops,12.0425194642789,13.103938481261,14.5599316458456,1.45599316458456,0.1
2010,Luxembourg,Sheep,Soyabean Oil,crops,crops,0.067610652951075,0.0676783312823574,0.0751981458692859,0.00751981458692859,0.1
1992,Grenada,Sheep,Wheat and products,crops,crops,50.6541473452834,57.6270163200038,66.9695271385848,9.34251081858096,0.139503908983079
1981,Switzerland,Horses,Beans,crops,crops,5.95454059837076e-17,6.05751841136395e-17,6.73057601262661e-17,6.7305760126266005e-18,0.0999999999999998
2013,Belgium,Sheep,Soy hulls,residues,residues,0.858419008507701,0.933064139682283,1.03673793298031,0.103673793298031,0.1
1973,Madagascar,Ducks,Cassava and products,crops,crops,2665.54483549095,6407.55970069939,7119.51077855488,711.951077855488,0.1
2002,Argentina,Horses,DDGS Barley,crops,crops,1134.67169139618,1234.68083938648,1371.86759931831,137.186759931831,0.1
2012,Russian Federation,"Chickens, layers",Beans,crops,crops,4119.22351132521,4190.46135434914,4656.06817149905,465.606817149905,0.1
2004,Bulgaria,Horses,"Oilseed Cakes, Other",crops,crops,132.372986386597,147.258351408099,169.126279301573,21.8679278934742,0.129299408606282
1963,Republic of Korea,Goats,Sorghum and products,crops,crops,1.10713937363844e-15,1.27992991172074e-15,1.4221443463563801e-15,1.42214434635638e-16,0.0999999999999999
2014,Lao,Goats,Milk - Excluding Butter,animals,animals,1.45934420568424,12.2633966864222,13.6259963182469,1.36259963182469,0.1
2010,Brazil,Sheep,Soyabean Cake,crops,crops,2281.55521192607,2592.67637718872,2880.75153020969,288.075153020969,0.1
1994,Eswatini,Sheep,DDGS,crops,crops,0.129942032761081,0.143423877219736,0.159359863577485,0.0159359863577485,0.0999999999999998
1973,"China, mainland",Geese,"Roots, Other",crops,crops,74.6623999722163,248.598446078412,276.220495642679,27.6220495642679,0.1
1982,South Africa,"Chickens, broilers",Brans,residues,residues,0.00553867973693876,0.00624076590077606,0.00693418433419562,6.9341843341956e-4,0.1
1993,French Guiana,"Cattle, dairy",Other crop residues,residues,residues,332.635025013342,369.731409796231,666.657879232915,296.926469436684,0.445395574981189
1963,Finland,"Cattle, dairy",Fodder legumes,residues,residues_grazers,89432.0107889198,436403.295909384,484892.551010426,48489.2551010426,0.0999999999999999
1998,Colombia,"Chickens, broilers",Maize and products,crops,crops,452131.46262403,524514.457800499,582793.842000555,58279.3842000555,0.1
1986,Portugal,"Cattle, dairy",Milk - Excluding Butter,animals,animals,27.3941460692511,230.202908144967,255.781009049963,25.5781009049963,0.1
1975,Sweden,"Cattle, non-dairy",Molasses,crops,crops,9006.52328905772,11968.8017130335,13298.6685700372,1329.86685700372,0.1
1997,Austria,"Chickens, layers",DDGS,crops,crops,2281.44366325202,2518.14973868877,2797.94415409863,279.794415409863,0.1
1977,Namibia,"Cattle, non-dairy",Sunflowerseed Cake,crops,crops,7.791369221154899e-13,8.56194419907132e-13,9.51327133230147e-13,9.51327133230147e-14,0.1
1992,Kyrgyzstan,Goats,Barley and products,crops,crops,1392.75852912956,1573.73845099385,1748.59827888206,174.859827888205,0.0999999999999999
1971,Algeria,"Cattle, non-dairy",Sunflowerseed Cake,crops,crops,2.00681233392023e-14,2.20528827903322e-14,2.4503203100369102e-14,2.4503203100369103e-15,0.1
2014,Chad,Pigs,Cottonseed Cake,crops,crops,160.835969778287,180.208369499482,200.231521666091,20.023152166609,0.0999999999999995
2015,Turkey,Buffalo,Grassland,grass,grass,250833.673547025,1254168.36773513,1254168.36773513,0,0
1982,Niger,"Cattle, non-dairy",Sorghum and products,crops,crops,16104.1312136504,18617.4927325438,20686.1030361598,2068.61030361598,0.1
1995,Bulgaria,Buffalo,Sugar (Raw Equivalent),crops,crops,7.15236437226632,7.18830590177519,7.98700655752799,0.798700655752799,0.1
2002,Bangladesh,Ducks,Barley and products,crops,crops,52.383842051449,59.1907819790384,66.2353107047583,7.04452872571991,0.106356090894186
1988,Paraguay,Ducks,Soyabeans,crops,crops,105.397224750682,122.554912500793,139.118566672692,16.5636541718986,0.119061420542582
1968,Nicaragua,Sheep,Straw,residues,residues_grazers,6.36371735975814,7.26866631611438,10.0611720736073,2.79250575749295,0.277552728157618
1984,Haiti,"Chickens, layers",Plantains,crops,crops,1024.41585746728,4114.11990950716,4571.24434389684,457.124434389683,0.0999999999999998
1994,Kyrgyzstan,"Cattle, dairy",Potatoes and products,crops,crops,38.7620788700257,170.758056696148,189.731174106832,18.9731174106832,0.1
1999,"China, Taiwan","Chickens, layers",Palm Oil,crops,crops,0.488774805255647,0.489264069324972,0.663171554215135,0.173907484890164,0.262236044029336
1996,Japan,Sheep,Potatoes and products,crops,crops,0.16334836620286,0.719596326884846,0.799551474316495,0.0799551474316493,0.0999999999999998
1986,Switzerland,Rabbits and hares,"Fish, Body Oil",animals,animals,0.00255802959493021,0.00261023428054103,0.00290026031171225,2.9002603117122e-4,0.1
2013,"China, Taiwan",Ducks,Cottonseed Cake,crops,crops,88.1247406430245,98.7392052022683,122.400107442115,23.6609022398463,0.193307855150666
1996,Argentina,Goats,Sorghum and products,crops,crops,106.413707761539,123.021627469987,136.690697188875,13.6690697188875,0.1
1985,Portugal,"Cattle, dairy",Oats,crops,crops,6236.58268432767,7190.52576978593,8493.2515112812,1302.72574149527,0.15338362931616
1985,Italy,Horses,Fodder vegetables and roots,residues,residues,1462.74967508429,14627.4967508429,16252.7741676032,1625.27741676032,0.1
1989,Tanzania,Ducks,Sunflowerseed Cake,crops,crops,99.3485625521707,109.174244562825,121.304716180917,12.1304716180917,0.1
2003,North Korea,"Cattle, non-dairy",Oats,crops,crops,355.825469877181,410.252271188141,455.835856875712,45.5835856875712,0.1
2020,Georgia,"Chickens, layers","Oilseed Cakes, Other",crops,crops,11474.1768067107,12764.4499564781,14182.7221738645,1418.27221738645,0.0999999999999997
1987,Angola,"Chickens, broilers",Sugar cane,crops,crops,123.019184208674,417.014183758218,463.349093064687,46.3349093064686,0.0999999999999998
2002,Romania,"Cattle, dairy",Soy hulls,residues,residues,1371.78293226649,1491.06840463749,1724.77168116798,233.703276530491,0.135498094665047
1999,Croatia,Ducks,Sunflower seed,crops,crops,3.00105417753442,3.20739669846928,5.14459945913541,1.93720276066613,0.376550745311413
1996,Niger,Goats,Sugar beet,crops,crops,0.00355293108838672,0.0142117243535469,0.0157908048372743,0.00157908048372743,0.1
1965,Germany,Horses,Rape and Mustardseed,crops,crops,1.61422767468067e-14,1.7699864853954702e-14,1.96665165043941e-14,1.9666516504394103e-15,0.1
2003,"China, Taiwan","Chickens, broilers",Oats,crops,crops,5.02036172606827,5.78827255119324,8.15070116898417,2.36242861779093,0.289843605944071
1991,Cyprus,"Chickens, broilers","Pulses, Other and products",crops,crops,0.515911416989688,0.546516331556872,0.607240368396525,0.0607240368396523,0.0999999999999998
1983,Indonesia,Pigs,Copra Cake,crops,crops,29307.6136378616,32241.5991615639,35823.9990684044,3582.39990684043,0.0999999999999998
1987,Hungary,Ducks,Molasses,crops,crops,73.2213412675865,97.3041079967927,108.115675551992,10.8115675551992,0.1
1990,Iceland,"Chickens, broilers","Oilseed Cakes, Other",crops,crops,88.8814787106445,98.8762162350731,109.862462483415,10.9862462483415,0.1
1961,Argentina,Asses,Soy hulls,residues,residues,5.0365781257902e-4,5.4745414410763e-4,6.0828238234181e-4,6.08282382341813e-5,0.1
1971,Spain,Asses,Soyabean Cake,crops,crops,4235.96086413814,4813.59189106606,5400.23812920629,586.646238140223,0.108633401732313
1981,Uruguay,Sheep,"Offals, Edible",animals,animals,901.402455064356,3004.67485021452,3338.52761134947,333.852761134947,0.1
1982,Suriname,"Chickens, layers",Sugar cane,crops,crops,1315.68173251888,4459.93807633517,5520.1868771359505,1060.24880080078,0.192067555754719
2011,Algeria,Camels,Oats,crops,crops,1303.07058148861,1502.38729610524,1669.31921789471,166.931921789471,0.1
1972,Bolivia,"Chickens, broilers",Soy hulls,residues,residues,1.19684999158301,1.30092390389457,1.4454710043273,0.14454710043273,0.1
2017,Yemen,"Cattle, non-dairy",Sorghum and products,crops,crops,3.40786257537723e-13,3.93972552066732e-13,4.37747280074146e-13,4.3774728007414605e-14,0.0999999999999999
2006,Nigeria,"Chickens, broilers",Pelagic Fish,animals,animals,382.428745324668,1529.71498129867,4305.40103904904,2775.68605775037,0.644698608230803
2008,Viet Nam,Goats,Soyabeans,crops,crops,28.7489344679543,33.4289935673887,37.2700680094369,3.84107444204815,0.103060569706382
2000,Ethiopia,Camels,"Oilcrops, Other",crops,crops,1.11974014525085,1.2172191088876,1.35246567654178,0.135246567654178,0.0999999999999999
2020,Sweden,"Cattle, non-dairy",Straw,residues,residues_grazers,1603432.04765564,1831447.22747646,2799314.50242297,967867.274946517,0.345751530994024
1999,Latvia,Pigs,DDGS,crops,crops,3262.05348889968,3600.50053962437,4000.55615513818,400.055615513818,0.0999999999999999
2007,Indonesia,Pigs,Sugarbeet pulp,residues,residues,4165.46121178,4664.57022595745,6605.78451073965,1941.2142847822,0.293865820422417
1966,Suriname,Ducks,Milk - Excluding Butter,animals,animals,0.117809337040887,0.989994428915019,1.09999380990558,0.109999380990558,0.1
2006,Australia,"Chickens, layers",Barley and products,crops,crops,78172.4581795428,88330.4612198224,100303.735243115,11973.2740232925,0.119370170953972
1987,Peru,"Chickens, layers","Oilcrops, Other",crops,crops,0.0789502792709584,0.0858232947958602,0.0953592164398447,0.00953592164398447,0.1
1998,Uruguay,"Chickens, layers",Rape and Mustard Cake,crops,crops,2.06093481322351,2.31046503724608,2.56718337471787,0.256718337471788,0.1
1985,Bangladesh,Goats,"Oilseed Cakes, Other",crops,crops,785.244742365585,873.545648316216,970.606275906906,97.0606275906906,0.1
2021,Samoa,"Chickens, layers",DDGS Barley,crops,crops,13.6481381611316,14.8510752569441,16.5011947299378,1.65011947299378,0.1
1985,Myanmar,Sheep,Sugarbeet pulp,residues,residues,27.4043270363965,30.6879362109703,35.0189033523854,4.33096714141508,0.123675121914407
1980,Poland,Rabbits and hares,Soy hulls,residues,residues,0.00652511806605157,0.00709251963701257,0.00788057737445841,7.8805773744584e-4,0.0999999999999998
2001,Hungary,Goats,Apples and products,crops,crops,0.364207059602389,2.27629412251493,2.52921569168325,0.252921569168326,0.1
2021,Tanzania,Pigs,Sorghum and products,crops,crops,2326.31333264875,2689.37957531648,2988.19952812942,298.819952812942,0.1
2003,Croatia,"Cattle, non-dairy",Molasses,crops,crops,2422.1768817589,3218.8397099786,4903.6739655539,1684.83425557529,0.343586108581137
1972,Chile,"Cattle, non-dairy",Potatoes and products,crops,crops,1.25328638147512e-13,5.52108538094768e-13,6.13453931216409e-13,6.13453931216409e-14,0.1
1966,Finland,Sheep,"Roots, Other",crops,crops,4.3256382920392e-4,0.00144027912054582,0.0016003101339398,1.6003101339398e-4,0.1
1975,Paraguay,Goats,Grassland,grass,grass,23017.2916979302,115086.458489651,115086.458489651,0,0
1982,Switzerland,"Chickens, broilers",Oats,crops,crops,5498.8873174299,6339.99306390842,7044.43673767602,704.443673767601,0.0999999999999998
1966,DR Congo,"Chickens, layers",Plantains,crops,crops,272.833933226135,1095.71860733388,1217.46511925986,121.746511925986,0.1
1971,Denmark,Ducks,Milk - Excluding Butter,animals,animals,104.949354133049,881.927345655875,979.919272950972,97.9919272950971,0.1
2001,Israel,"Chickens, broilers",Soy hulls,residues,residues,6522.26383875337,7089.41721603627,7877.1302400403,787.713024004031,0.1
1962,Guyana,Goats,Straw,residues,residues_grazers,208.390820166464,238.024923091335,1514.31972048355,1276.29479739221,0.842817259874731
1964,Gambia,"Cattle, non-dairy",Millet and products,crops,crops,357.441749153081,405.953150656537,451.059056285041,45.1059056285041,0.0999999999999999
1966,Poland,Pigs,"Pulses, Other and products",crops,crops,208500.736550696,220869.424312178,245410.471457976,24541.0471457976,0.1
2001,Fiji,"Chickens, layers",Oats,crops,crops,0.423782414314682,0.488603859701785,0.542893177446428,0.0542893177446429,0.1
2009,Switzerland,"Chickens, broilers",Sunflowerseed Cake,crops,crops,1022.77543598176,1123.92905052941,1248.81005614379,124.881005614379,0.1
1973,Viet Nam,"Chickens, layers","Cereals, Other",crops,crops,11.9093342253054,13.6483631652817,15.1648479614242,1.51648479614241,0.0999999999999997
1980,Paraguay,"Cattle, dairy",Palmkernel Cake,crops,crops,283.112442341064,309.751031007729,344.588338710645,34.8373077029159,0.101098336157479
1976,Portugal,Goats,Potatoes and products,crops,crops,13.2423478494836,58.3363341386941,64.8181490429934,6.48181490429934,0.1
1985,Iraq,"Chickens, broilers","Oilseed Cakes, Other",crops,crops,63.7927148885086,70.9662166183464,78.8513517981627,7.88513517981625,0.0999999999999997
1993,Slovakia,Turkeys,Fodder vegetables and roots,residues,residues,1.22184094469386,12.2184094469386,14.41688074289,2.19847129595145,0.152492854394712
1961,Colombia,"Chickens, layers",Barley and products,crops,crops,371.104981828406,419.327663082945,465.919625647717,46.5919625647717,0.1
2006,Romania,"Chickens, broilers",Soyabean Cake,crops,crops,19278.4724038299,21907.3550043521,24341.5055603913,2434.15055603912,0.0999999999999999
2001,Philippines,"Cattle, dairy",DDGS,crops,crops,0.0761242116374516,0.0840223086506089,0.0933581207228987,0.00933581207228987,0.1
2004,Mauritius,Goats,Cottonseed Cake,crops,crops,1.81854429831148,2.03758464796804,2.60469674413764,0.567112096169592,0.217726726708583
1995,Armenia,Goats,Straw,residues,residues_grazers,1617.06428160066,1847.01802581457,3030.70327431031,1183.68524849574,0.390564546034322
