Year,area,Live_anim,item,feedtype,ft,Intake_DM,Intake,Supply,Loss,Loss_share
1970,Morocco,Camels,Sunflowerseed Cake,crops,crops,87.6873737038109,96.3597513228692,107.066390358744,10.7066390358743,0.1
1994,Chad,Horses,"Oilcrops, Other",crops,crops,13.6894141630678,14.8811459332198,16.5346065924664,1.65346065924664,0.0999999999999998
1964,Greece,Pigs,"Cereals, Other",crops,crops,1345.83635670273,1542.35854077288,1713.73171196987,171.373171196987,0.1
1994,Malaysia,"Chickens, broilers",Molasses,crops,crops,5286.74780708627,7025.57848117776,7814.50320391079,788.924722733027,0.100956478249085
2006,United States of America,Turkeys,Demersal Fish,animals,animals,1292.66974437122,5170.67897748487,5849.84910058374,679.170123098871,0.11610045172466
2007,Ivory Coast,Pigs,DDGS Barley,crops,crops,204.734265881184,222.779397041549,302.021038482431,79.2416414408815,0.262371263402868
1994,Ecuador,Geese,Potatoes and products,crops,crops,1.44196971093162,6.35228947546967,7.05809941718852,0.705809941718851,0.0999999999999998
2020,Netherlands,Sheep,Groundnut Cake,crops,crops,52.4251799578674,57.483749953802,63.8708332820022,6.38708332820021,0.1
1979,Puerto Rico,Pigs,"Vegetables, Other",crops,crops,39.0589507823907,328.226477162947,364.696085736607,36.4696085736607,0.1
2015,Kazakhstan,"Cattle, non-dairy",Sunflower seed,crops,crops,559.203444244283,597.652416363679,664.058240404088,66.4058240404089,0.1
2002,Indonesia,"Cattle, dairy",Freshwater Fish,animals,animals,0.365942183188361,1.46376873275344,2.00433457526343,0.540565842509985,0.269698407232704
1989,Uruguay,Turkeys,DDGS Barley,crops,crops,2.6022298712842,2.83158854329075,3.14620949254528,0.314620949254528,0.1
1979,Latin America Other,Geese,DDGS Barley,crops,crops,0.130714686923522,0.142235785553342,0.158039761725936,0.0158039761725936,0.0999999999999998
2012,North Macedonia,"Cattle, dairy",Sugarbeet pulp,residues,residues,2520.50540918543,2822.51445597472,3136.12717330525,313.612717330525,0.1
2020,Togo,Goats,Soyabean Cake,crops,crops,1.53896790485172,1.74882716460422,3.93185016005357,2.18302299544935,0.555215205713639
1994,Italy,Rabbits and hares,Fodder legumes,residues,residues_grazers,10.7485637176979,52.4499962744495,58.2777736382772,5.82777736382772,0.1
2021,Honduras,Pigs,Sorghum and products,crops,crops,304.104308734281,351.565674837319,390.628527597021,39.0628527597021,0.1
1987,Egypt,Geese,Soy hulls,residues,residues,18.1360298833783,19.7130759601938,22.2636935967365,2.55061763654277,0.114563992962814
1993,Africa Other,"Cattle, non-dairy",Molasses,crops,crops,6.08336324186923e-14,8.084203643680032e-14,8.98244849297782e-14,8.98244849297781e-15,0.1
1995,Oman,Sheep,"Roots, Other",crops,crops,0.0227811844843725,0.075853000502905,0.0842811116698944,0.00842811116698942,0.0999999999999998
1998,Finland,Horses,DDGS,crops,crops,67.4288256248819,74.4247523453443,82.6941692726047,8.26941692726047,0.1
2016,Mongolia,"Cattle, dairy",Potatoes and products,crops,crops,21.5623281952205,94.9882299348921,105.542477705436,10.5542477705436,0.1
1982,Denmark,"Chickens, broilers","Offals, Edible",animals,animals,3.25555414931697,10.8518471643899,12.0576079604332,1.20576079604332,0.1
