"item_prod_code","item_prod_name","cft_name","cft_lpjml","luh2_type"
560,"Grapes","grapes","others","c3per"
567,"Watermelons","vegetables","others","c3ann"
568,"Cantaloupes and other melons","vegetables","others","c3ann"
569,"Figs","temperate_fruits","others","c3per"
571,"Mangoes, guavas and mangosteens","tropical_fruits","others","c3per"
572,"Avocados","tropical_fruits","others","c3per"
574,"Pineapples","tropical_fruits","others","c3per"
577,"Dates","tropical_fruits","others","c3per"
587,"Persimmons","temperate_fruits","others","c3per"
592,"Kiwi fruit","temperate_fruits","others","c3per"
600,"Papayas","tropical_fruits","others","c3per"
603,"Other tropical fruits, n.e.c.","tropical_fruits","others","c3per"
619,"Other fruits, n.e.c.","temperate_fruits","others","c3per"
656,"Coffee, green","coffee","others","c3per"
661,"Cocoa beans","cocoa","others","c3per"
667,"Tea leaves","tea","others","c3per"
671,"Mate leaves","stimulants_other","others","c3per"
677,"Hop cones","stimulants_other","others","c3per"
687,"Pepper (Piper spp.), raw","spices","others","c3per"
689,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","spices","others","c3ann"
692,"Vanilla, raw","spices","others","c3per"
693,"Cinnamon and cinnamon-tree flowers, raw","spices","others","c3per"
698,"Cloves (whole stems), raw","spices","others","c3per"
702,"Nutmeg, mace, cardamoms, raw","spices","others","c3per"
711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","spices","others","c3ann"
720,"Ginger, raw","spices","others","c3ann"
723,"Other stimulant, spice and aromatic crops, n.e.c.","stimulants_other","others","c3ann"
748,"Peppermint, spearmint","spices","others","c3ann"
754,"Pyrethrum, dried flowers","stimulants_other","others","c3ann"
773,"Flax, processed but not spun","fibres_other","others","c3ann"
777,"True hemp, raw or retted","fibres_other","others","c3ann"
778,"Kapok fibre, raw","fibres_other","others","c3per"
780,"Jute, raw or retted","fibres_other","others","c3ann"
788,"Ramie, raw or retted","fibres_other","others","c3ann"
789,"Sisal, raw","fibres_other","others","c3per"
800,"Agave fibres, raw, n.e.c.","fibres_other","others","c3per"
821,"Other fibre crops, raw, n.e.c.","fibres_other","others","c3ann"
826,"Unmanufactured tobacco","tobacco","others","c3ann"
836,"Natural rubber in primary forms","rubber","others","c3per"
839,"Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","others_perennial","others","c3per"
