area_code,item_cbs_code,physical_ha,harvested_ha
9,2557,1420506.2,1528312.8
9,2558,16895.4,16895.4
9,2561,8.1,8.1
9,2563,126009.6,126009.6
9,2570,34776.1,34776.1
9,2601,16580.9,16580.9
9,2602,24947.2,24947.2
9,2605,155511.5,155511.5
9,2611,72656.9,72656.9
9,2612,51728.1,51728.1
9,2613,4214.3,4214.3
9,2615,8390.9,8392.6
9,2616,7.6,7.6
9,2617,22062.7,22062.7
9,2618,175.4,175.4
9,2620,198042.6,198042.6
9,2625,66863.5,66863.5
9,2630,11.9,11.9
9,2633,0.4,0.4
9,2635,193003.3,193003.3
9,2645,8665.5,8665.5
9,2664,2766.9,2766.9
9,2667,1505.2,1505.2
9,2671,52945.1,52945.1
9,2807,185822.7,185887.5
10,328,67902.9,79885.5
10,677,265.7,265.7
10,2511,7897797,7897797
10,2513,4914094,4946196
10,2514,39309.1,39309.1
10,2515,40745.7,40745.7
10,2516,736600.6,736600.6
10,2517,35993.5,35996.9
10,2518,175088.6,225613.7
10,2520,89204.4,89204.4
10,2531,27510.4,27563.7
10,2533,1842.7,1934.3
10,2536,249415,366146.2
10,2546,105904.8,105946.2
10,2547,247982.8,247982.8
10,2549,1326188.2,1352882.2
10,2551,55799.5,55799.5
10,2552,4809.6,4825
10,2555,10715.6,10715.6
10,2557,9177.2,9726.5
10,2558,2014409.6,2014917
10,2563,20637.7,20637.7
10,2570,14203.3,14203.3
10,2601,4153.2,4153.2
10,2602,5194.3,5194.3
10,2605,63041.8,63042.2
10,2611,25229.6,25229.6
10,2612,1435.1,1435.1
10,2613,731,731
10,2614,74.6,74.6
10,2615,12011,12161.1
10,2617,19778.9,19778.9
10,2618,2202.1,2202.1
10,2620,141768.6,141768.6
10,2625,63581,63581
10,2671,728.4,923.1
10,2807,5916.1,5916.1
11,677,266.3,266.3
11,2511,278920.2,278936.3
11,2513,127146.9,127146.9
11,2514,212245.2,212252.9
11,2515,39330,39330
11,2516,16596.7,16596.7
11,2517,3006.7,3006.7
11,2518,4302.3,4302.4
11,2520,53079,53079
11,2531,24095.1,24095.7
11,2537,26914.8,26914.8
11,2546,1,1
11,2547,5519.6,5519.6
11,2549,9802.7,9802.7
11,2551,211.5,211.5
11,2555,68097.9,68097.9
11,2557,23475.8,23476.1
11,2558,32124,32124
11,2563,3.6,3.6
11,2570,41424.7,41424.7
11,2601,195.6,195.6
11,2602,3339,3339
11,2605,33791.8,33791.8
11,2611,3.9,3.9
11,2612,0.9,0.9
11,2617,6582.3,6582.3
11,2620,44460.3,44460.3
11,2625,5143.3,5143.3
11,2645,0.4,0.4
11,2664,1130.1,1130.1
11,2671,30.6,31.7
11,2807,1.5,1.5
12,2514,80.7,80.7
12,2532,34,34.1
12,2533,473.9,473.9
12,2536,2355.8,2358.2
12,2549,125.2,125.2
12,2560,314.2,314.2
12,2605,2610.2,2610.2
12,2615,411,411
12,2616,22.2,22.2
