"earthstat_name","item_prod_code","item_prod_name","unmapped_reason","in_raster_archive","pattern_group"
"popcorn",,,"unmapped",FALSE,
"poppy",296,"Poppy seed",,TRUE,
"potato",116,"Potatoes",,TRUE,
"pulsenes",211,"Other pulses n.e.c.",,TRUE,
"pumpkinetc",394,"Pumpkins, squash and gourds",,TRUE,
"pyrethrum",754,"Pyrethrum, dried flowers",,TRUE,
"quince",523,"Quinces",,TRUE,
"quinoa",92,"Quinoa",,TRUE,
"ramie",788,"Ramie, raw or retted",,TRUE,
"rapeseed",270,"Rape or colza seed",,TRUE,
"rasberry",547,"Raspberries",,TRUE,
"rice",27,"Rice",,TRUE,
"rootnes",,,"unmapped",TRUE,
"rubber",836,"Natural rubber in primary forms",,TRUE,
"rye",71,"Rye",,TRUE,
"ryefor",,,"no_fao_crop_name",TRUE,
"safflower",280,"Safflower seed",,TRUE,
"sesame",289,"Sesame seed",,TRUE,
"sisal",789,"Sisal, raw",,TRUE,
"sorghum",83,"Sorghum",,TRUE,
"sorghumfor",,,"no_fao_crop_name",TRUE,
"sourcherry",530,"Sour cherries",,TRUE,
"soybean",236,"Soya beans",,TRUE,
"spicenes",723,"Other stimulant, spice and aromatic crops, n.e.c.",,TRUE,
"spinach",373,"Spinach",,TRUE,
"stonefruitnes",541,"Other stone fruits",,TRUE,
"strawberry",544,"Strawberries",,TRUE,
"stringbean",423,"String beans",,TRUE,
"sugarbeet",157,"Sugar beet",,TRUE,
"sugarcane",156,"Sugar cane",,TRUE,
"sugarnes",,,"unmapped",TRUE,
"sunflower",267,"Sunflower seed",,TRUE,
"swedefor",,,"no_fao_crop_name",TRUE,
"sweetpotato",122,"Sweet potatoes",,TRUE,
"tangetc",495,"Tangerines, mandarins, clementines",,TRUE,
"taro",136,"Taro",,TRUE,
"tea",667,"Tea leaves",,TRUE,
"tobacco",826,"Unmanufactured tobacco",,TRUE,
"tomato",388,"Tomatoes",,TRUE,
"triticale",97,"Triticale",,TRUE,
"tropicalnes",603,"Other tropical fruits, n.e.c.",,TRUE,
"tung",275,"Tung nuts",,TRUE,
"turnipfor",,,"no_fao_crop_name",TRUE,
"vanilla",692,"Vanilla, raw",,TRUE,
"vegetablenes",463,"Other vegetables, fresh n.e.c.",,TRUE,
"vegfor",,,"no_fao_crop_name",TRUE,
"vetch",205,"Vetches",,TRUE,
"walnut",222,"Walnuts, in shell",,TRUE,
"watermelon",567,"Watermelons",,TRUE,
"wheat",15,"Wheat",,TRUE,
"yam",137,"Yams",,TRUE,
"yautia",135,"Yautia",,TRUE,
