area_code,item_cbs_code,physical_ha,harvested_ha
9,2558,18103.6,16895.4
9,2561,8.1,8.1
9,2563,126009.6,126009.6
9,2570,39395.8,34776.1
9,2601,17141.7,16580.9
9,2602,25602.7,24947.2
9,2605,160012.6,155511.5
9,2611,72919.7,72656.9
9,2612,51851.1,51728.1
9,2613,4230.1,4214.3
9,2615,8612.7,8392.6
9,2616,7.6,7.6
9,2617,22599.6,22062.7
9,2618,180.1,175.4
9,2620,204180.6,198042.6
9,2625,68545.2,66863.5
9,2630,11.9,11.9
9,2633,0.4,0.4
9,2635,193003.3,193003.3
9,2645,8968,8665.5
9,2664,2766.9,2766.9
9,2667,1553.1,1505.2
9,2671,54683.4,52945.1
9,2807,216924.1,185887.5
10,328,70398,79885.5
10,677,277.1,265.7
10,2511,11740472.3,7897797
10,2513,4914094,4946196
10,2514,42934.4,39309.1
10,2515,53754,40745.7
10,2516,1056952,736600.6
10,2517,43500.6,35996.9
10,2518,208267.3,225613.7
10,2520,112412.9,89204.4
10,2531,30156,27563.7
10,2533,2099.7,1934.3
10,2536,261406.9,366146.2
10,2546,142914.3,105946.2
10,2547,331339.8,247982.8
10,2549,1984203.7,1352882.2
10,2551,60141.5,55799.5
10,2552,5411.3,4825
10,2555,12423.4,10715.6
10,2557,10569.9,9726.5
10,2558,2590614.6,2014917
10,2563,20637.7,20637.7
10,2570,15630.5,14203.3
10,2601,4317.8,4153.2
10,2602,5414.3,5194.3
10,2605,65575,63042.2
10,2611,26158.6,25229.6
10,2612,1525.2,1435.1
10,2613,758.5,731
10,2614,78.2,74.6
10,2615,12520.8,12161.1
10,2617,20481.3,19778.9
10,2618,2288.7,2202.1
10,2620,147136.3,141768.6
10,2625,66520,63581
10,2671,728.4,923.1
10,2807,6517.4,5916.1
11,677,271.6,266.3
11,2511,299105.3,278936.3
11,2513,127146.9,127146.9
11,2514,217630.7,212252.9
11,2515,42523.5,39330
11,2516,18102.2,16596.7
11,2517,3006.7,3006.7
11,2518,4896.1,4302.4
11,2520,58577.8,53079
11,2531,24970.8,24095.7
11,2537,27414.6,26914.8
11,2546,1,1
11,2547,6072.2,5519.6
11,2549,11079.6,9802.7
11,2551,215,211.5
11,2555,72170.2,68097.9
11,2557,24921.4,23476.1
11,2558,33979.1,32124
11,2563,3.6,3.6
11,2570,43950.6,41424.7
11,2601,199.7,195.6
11,2602,3405.9,3339
11,2605,34030.8,33791.8
11,2611,3.9,3.9
11,2612,0.9,0.9
11,2617,6708.9,6582.3
11,2620,45305.6,44460.3
11,2625,5220.3,5143.3
11,2645,0.4,0.4
11,2664,1130.1,1130.1
11,2671,30.6,31.7
11,2807,1.5,1.5
12,2514,94.5,80.7
12,2532,39.8,34.1
12,2533,564.8,473.9
12,2536,2691.4,2358.2
12,2549,192.2,125.2
12,2560,314.2,314.2
12,2605,2990.1,2610.2
12,2615,465.9,411
12,2616,22.2,22.2
13,2531,1.6,1.6
13,2549,1.3,1.3
13,2551,9.7,9.7
13,2601,9.7,9.7
13,2602,6.3,6.3
13,2605,69,69
13,2612,9.7,9.7
13,2615,60.2,60.2
13,2619,9.7,9.7
13,2620,6.1,6.1
13,2625,9.7,9.7
14,2514,25.1,25.1
14,2532,18.9,18.9
14,2533,46.5,46.5
14,2535,30.6,30.6
14,2536,3594.2,3594.3
14,2546,27.8,27.8
14,2552,8.1,8.1
14,2560,457.4,457.4
14,2615,138.8,138.8
16,328,19695.5,19640.3
16,2511,230865.9,310098.3
16,2513,169.4,169.4
16,2514,315130.2,312895.1
16,2517,12317.9,12251.4
16,2518,68.5,68.1
