"Crop_name","ISO","Continent","Manure_N_Mg"
"agave","AGO","AFR",0
"agave","ALB","EUR",0
"agave","ARE","ASI",0
"agave","ARG","LAM",0
"agave","ARM","ASI",0
"agave","ATG","LAM",0
"agave","AUS","OCE",0
"agave","AUT","EU",0
"agave","AZE","ASI",0
"agave","BDI","AFR",0
"agave","BEL","EU",0
"agave","BEN","AFR",0
"agave","BFA","AFR",0
"agave","BGD","ASI",0
"agave","BGR","EU",0
"agave","BHR","ASI",0
"agave","BHS","LAM",0
"agave","BIH","EUR",0
"agave","BLR","EUR",0
"agave","BLZ","LAM",0
"agave","BOL","LAM",0
"agave","BRA","LAM",0
"agave","BRB","LAM",0
"agave","BRN","ASI",0
"agave","BWA","AFR",0
"agave","CAF","AFR",0
"agave","CAN","NAM",0
"agave","CHE","EUR",0
"agave","CHL","LAM",0
"agave","CHN","ASI",0
"agave","CIV","AFR",0
"agave","CMR","AFR",0
"agave","COD","AFR",0
"agave","COG","AFR",0
"agave","COL","LAM",438.293899356858
"agave","CPV","AFR",0
"agave","CRI","LAM",0.0161488852699665
"agave","CUB","LAM",488.470941147866
"agave","CYP","EU",0
"agave","CZE","EU",0
"agave","DEU","EU",0
"agave","DJI","AFR",0
"agave","DMA","LAM",0
"agave","DNK","EU",0
"agave","DOM","LAM",0
"agave","DZA","AFR",0
"agave","ECU","LAM",85.3365329185957
"agave","EGY","AFR",0
"agave","ERI","AFR",0
"agave","ESP","EU",0
"agave","EST","EU",0
"agave","ETH","AFR",0
"agave","FIN","EU",0
"agave","FJI","OCE",0
"agave","FRA","EU",0
"agave","GAB","AFR",0
"agave","GBR","EU",0
"agave","GEO","ASI",0
"agave","GHA","AFR",0
"agave","GIN","AFR",0
"agave","GMB","AFR",0
"agave","GNB","AFR",0
"agave","GRC","EU",0
"agave","GRD","LAM",0
"agave","GTM","LAM",0.883734493549867
"agave","GUY","LAM",0
"agave","HND","LAM",0.76529719359303
"agave","HRV","EU",0
"agave","HTI","LAM",0
"agave","HUN","EU",0
"agave","IDN","ASI",0
"agave","IND","ASI",0
"agave","IRL","EU",0
"agave","IRN","ASI",0
"agave","IRQ","ASI",0
"agave","ISL","EUR",0
"agave","ISR","ASI",0
"agave","ITA","EU",0
"agave","JAM","LAM",0
"agave","JOR","ASI",0
"agave","JPN","ASI",0
"agave","KAZ","ASI",0
"agave","KEN","AFR",0
"agave","KGZ","ASI",0
"agave","KHM","ASI",0
"agave","KIR","OCE",0
"agave","KNA","LAM",0
"agave","KOR","ASI",0
"agave","KWT","ASI",0
"agave","LAO","ASI",0
"agave","LBN","ASI",0
"agave","LBR","AFR",0
"agave","LBY","AFR",0
"agave","LCA","LAM",0
