"Name","Reporter","Trade","Imp/Exp","Timeline_Start","Timeline_End","Timeline_Freq","Quality","Info_Format","Scanned","SACO_link"
"Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères,  (1877-1886)","France","Bilateral","Exp/Imp",1877,1886,1,"Good","partial_series",0,
"Hsiao, L. (1974). China’s Foreign Trade Statistics, 1864–1949. (1 ed.). Harvard University Asia Center Publications Program. https://dx.doi.org/10.1353/book75525.","China","Total","Exp/Imp",1886,1948,1,"Good","partial_series",0,"https://saco.csic.es/s/4ofWeFPDb5nN5gB?dir=undefined&path=%2FSources%2FChina&openfile=330981379"
"Tableau général du commerce de la France avec ses colonies et les puissances étrangères pendant l'année 1839","France","Total","Exp/Imp",1834,1839,1,"Good","partial_series",0,
"Tableau général du commerce de la France avec ses colonies et les puissances étrangères pendant l'année 1845","France","Total","Exp/Imp",1840,1845,1,"Good","partial_series",0,
"Tableau général du commerce de la France avec ses colonies et les puissances étrangères pendant l'année 1851","France","Total","Exp/Imp",1846,1851,1,"Good","partial_series",0,
"Tableau général du commerce de la France avec ses colonies et les puissances étrangères pendant l'année 1857","France","Total","Exp/Imp",1852,1857,1,"Good","partial_series",0,
"Tableau général du commerce de la France avec ses colonies et les puissances étrangères pendant l'année 1863","France","Total","Exp/Imp",1858,1863,1,"Good","partial_series",0,
"Tableau général du commerce de la France avec ses colonies et les puissances étrangères pendant l'année 1869","France","Total","Exp/Imp",1864,1869,1,"Good","partial_series",0,
"Tableau général du commerce de la France avec ses colonies et les puissances étrangères pendant l'année 1875","France","Total","Exp/Imp",1870,1875,1,"Good","partial_series",0,
"Tableau général du commerce de la France avec ses colonies et les puissances étrangères pendant l'année 1881","France","Total","Exp/Imp",1876,1881,1,"Good","partial_series",0,
"Tableau général du commerce de la France avec ses colonies et les puissances étrangères pendant l'année 1887","France","Total","Exp/Imp",1882,1887,1,"Good","partial_series",0,
"Tableau général du commerce de la France avec ses colonies et les puissances étrangères pendant l'année 1893","France","Total","Exp/Imp",1888,1893,1,"Good","partial_series",0,
"Tableau général du commerce de la France avec ses colonies et les puissances étrangères pendant l'année 1893","France","Total","Exp/Imp",1891,1896,1,"Good","partial_series",0,
"Tableau général du commerce de la France avec ses colonies et les puissances étrangères pendant l'année 1839","France","Bilateral","Exp/Imp",1825,1825,1,"Good","year",0,
"Tableau général du commerce de la France avec ses colonies et les puissances étrangères pendant l'année 1839","France","Bilateral","Exp/Imp",1850,1850,1,"Good","year",0,
"Tableau général du commerce de la France avec ses colonies et les puissances étrangères pendant l'année 1839","France","Bilateral","Exp/Imp",1860,1860,1,"Good","year",0,
"Tableau général du commerce de la France avec ses colonies et les puissances étrangères pendant l'année 1893","France","Bilateral","Exp/Imp",1890,1890,1,"Good","year",0,
"Tableau général du commerce et de la navigation (1900)","France","Total","Exp/Imp",1895,1900,1,"Good","partial_series",0,
"Tableau général du commerce et de la navigation (1900)","France","Bilateral","Exp/Imp",1900,1900,1,"Good","year",0,
"Tableau général du commerce et de la navigation (1913)","France","Bilateral","Exp/Imp",1913,1913,1,"Good","year",0,
"Tableau général du commerce et de la navigation (1918)","France","Bilateral","Exp/Imp",1918,1918,1,"Good","year",0,
"Tableau général du commerce et de la navigation (1920)","France","Bilateral","Exp/Imp",1920,1920,1,"Good","year",0,
