year,urban_kgn_cap
1860,1.0527208214393555
1900,0.8399120787763847
1950,0.7767970372957286
1990,0.5587563700642041
2000,0.9105927201917676
2008,1.200943307620827
2016,1.2814023786489213
2018,1.4713
2020,1.3605
2022,1.6041
