year,human_kgn_cap,calibration_population
1950,0.4298884676274751,28077050
1990,0.43060021678917154,39084978
2000,0.7040506339173906,41019777
2008,0.931111685711199,46235055
2016,1.0707689471270598,46732771
2018,1.1628099570168022,47092820
2020,1.076983018840659,47679489
2022,1.2814566614137886,47828383
