metric,value
rows,2768578
areas,195
domestic_supply,1724375663804.68
export,29945597339.4127
feed,81556044519.2557
food,1211507555.1866
import,15659800223.7693
other_uses,8245549239.90706
processing,1633101111311.34
production,1731627246663.52
seed,275623400.158148
stock_addition,2305740084.77809
stock_withdrawal,9339829175.91061
