Year,area_code,area_code_p,Element,item,Unit,Value,area,area_p,Country_share
1996,106,75,Export,Cocoa Beans and products,tonnes,5,Italy,Gambia,4.71311282249475e-5
2006,256,79,Export,Palmkernel Cake,tonnes,1,Luxembourg,Germany,0.25
2021,100,179,Export,Bovine Meat,tonnes,9374.49,India,Qatar,0.009117772726446
1999,167,15,Export,Hops,tonnes,229,Czech Republic,Belgium-Luxembourg,0.0428758659427074
2011,104,99,Export,Beer,tonnes,85,Ireland,Iceland,2.1256695859195e-4
2019,27,174,Export,Tobacco,tonnes,13.7,Bulgaria,Portugal,4.1949455499129e-4
2001,156,150,Import,Potatoes and products,tonnes,1,New Zealand,Netherlands,1.5096618357487e-4
1998,223,98,Import,Wheat and products,tonnes,1450,Turkey,Croatia,7.9886109954139e-4
1991,15,173,Import,Honey,tonnes,1,Belgium-Luxembourg,Poland,1.4492753623188e-4
2015,10,96,Import,"Beverages, Alcoholic",tonnes,18.57,Australia,"China, Hong Kong SAR",1.3627143449864e-4
2017,27,183,Import,Milk - Excluding Butter,tonnes,28748.9,Bulgaria,Romania,0.20271526152468
2009,97,272,Import,Sunflowerseed Cake,tonnes,733,Hungary,Serbia,0.0145867743925494
2013,59,21,Export,"Vegetables, Other",tonnes,368,Egypt,Brazil,0.00146995969594203
2021,150,207,Export,Infant food,tonnes,87.74,Netherlands,Suriname,4.7450187848447e-4
2014,174,89,Import,"Fruits, Other",tonnes,120,Portugal,Guatemala,3.8784446325202e-4
2011,4,102,Import,Grapes and products (excl wine),tonnes,2894,Algeria,Iran,0.257290184921764
2020,185,107,Import,Coffee and products,tonnes,118.87,Russian Federation,Ivory Coast,4.0588123861009e-4
1992,195,68,Import,Onions,tonnes,56,Senegal,France,0.00371082101915049
2004,68,86,Export,Wheat and products,tonnes,16,France,Grenada,9.51261295187438e-7
2012,156,137,Export,Wine,tonnes,5,New Zealand,Mauritius,2.84023130843776e-5
1996,200,106,Import,"Sweeteners, Other",tonnes,340,Singapore,Italy,0.00327467807025148
2010,220,166,Import,"Vegetables, Other",tonnes,1,Trinidad and Tobago,Panama,3.77871825876663e-5
1998,229,165,Export,Hides and skins,tonnes,185,United Kingdom,Pakistan,0.00169198547636251
2014,168,156,Import,Soyabeans,tonnes,0.06,Papua New Guinea,New Zealand,5.10994907084093e-5
2020,198,79,Export,"Oilcrops Oil, Other",tonnes,633.87,Slovenia,Germany,0.0584304070042375
1995,138,231,Export,Infant food,tonnes,15,Mexico,United States of America,0.00950570342205323
2000,236,44,Import,Palm Oil,tonnes,5051,Venezuela,Colombia,0.161471819954605
2007,41,229,Export,Wool (Clean Eq.),tonnes,3537,"China, mainland",United Kingdom,0.0834296497228447
1997,32,222,Export,Coffee and products,tonnes,605,Cameroon,Tunisia,0.0102570188525702
1994,40,21,Import,Tobacco,tonnes,308,Chile,Brazil,0.588910133843212
1991,229,112,Export,Tobacco,tonnes,32,United Kingdom,Jordan,4.4241670123047e-4
2014,59,118,Export,Pimento,tonnes,3.24,Egypt,Kuwait,0.00182125812961287
