Year,area,area_code,ProcessedItem,Element,Value,item_code,Item,Product_fraction,value_proc_raw,item,Scaling,cf,value_proc
2011,Burundi,29,Sugar cane,Production,204000,2536,"Beverages, Fermented",0.0205060976554879,4183.24392171953,"Beverages, Fermented",24.6729843464369,0.505946626460359,103213.111797913
2015,Azerbaijan,52,Apples and products,Production,18285.7142857143,2617,"Beverages, Fermented",0.0154795146638377,283.05398242446,"Beverages, Fermented",0.184966898987886,0.00286319782520755,52.3556173752238
1989,Pakistan,165,Barley and products,Production,2980.2210467706,2513,"Alcohol, Non-Food",0.0175543402275222,52.3158142082333,"Alcohol, Non-Food",0.0502320461383618,8.8179042823739e-4,2.62793039307394
1995,Hungary,97,Apples and products,Production,1089.24799880328,2617,"Beverages, Alcoholic",0.0201293571052107,21.9258619440473,"Beverages, Alcoholic",2.98296241971224,0.0600451157778111,65.404022198892
2002,Germany,79,Potatoes and products,Production,287696.470351741,2531,"Alcohol, Non-Food",0.0170266130184969,4898.49646746657,"Alcohol, Non-Food",0.330057632118819,0.00561976357588855,1616.78614499442
2007,Ivory Coast,107,"Oilcrops, Other",Production,28937,2570,"Oilseed Cakes, Other",1.42452245790447,41221.4063643816,"Oilseed Cakes, Other",1,1.42452245790447,41221.4063643816
1999,Hungary,97,Sunflower seed,Production,423876.967182964,2557,Sunflowerseed Cake,0.475464139062503,201538.297270073,Sunflowerseed Cake,1.11145128759239,0.528455229565026,224000
1993,Bolivia,19,Sugar cane,Production,3368147.5,2536,"Sweeteners, Other",0.0150078027863422,50548.4934353114,"Sweeteners, Other",5,0.0750390139317108,252742.467176557
2021,United Kingdom,229,Sunflowerseed Oil,Production,58792.2535211268,2573,"Oilcrops Oil, Other",1.09530962194118,64395.7209772952,"Oilcrops Oil, Other",1.28889196250515,1.41173576817453,82999.1271873598
1995,Lithuania,126,Maize and products,Production,9999.780874748,2514,"Alcohol, Non-Food",0.0319483746857824,319.47674616217,"Alcohol, Non-Food",1.86897635186033,0.0597107567681003,597.094483546379
1982,French Polynesia,70,Barley and products,Production,2144.5,2513,Beer,4.63952629664194,9949.46414314865,Beer,0.804565942931948,3.73280484961529,8005
1987,Portugal,174,Soyabeans,Production,834856.833887043,2555,Soy hulls,0.05,41742.8416943522,Soy hulls,0.99538024517439,0.0497690122587195,41550
1992,Guinea-Bissau,175,Sorghum and products,Production,1905.69741916345,2518,DDGS,0.28,533.595277365767,DDGS,0.936949998878357,0.26234599968594,499.952094529352
1985,Niger,158,Groundnuts,Production,22909.2783505155,2552,Groundnut Cake,0.380273241527482,8711.78553940588,Groundnut Cake,0.918296250959545,0.34920349203492,8000
1965,Nigeria,159,Palm kernels,Production,39913,2562,Palmkernel Cake,0.480441135523224,19175.8470421384,Palmkernel Cake,1.03844174164728,0.498910129531732,19913
2016,RoW,999,"Oranges, Mandarines",Production,32675.5218216319,2611,"Sweeteners, Other",0.073254586702539,2393.63184633344,"Sweeteners, Other",1.31090250049055,0.0960296208807605,3137.81797261233
2007,Portugal,174,Wheat and products,Production,96390.0892272323,2511,DDGS,0.28,26989.224983625,DDGS,0.99628366813998,0.278959427079194,26888.9240669411
2001,South Africa,202,Rice and products,Production,47.0054887044227,2807,"Alcohol, Non-Food",0.0259726469817434,1.22085696432429,"Alcohol, Non-Food",0.839944740463735,0.0218155882282366,1.02545238604271
2007,Ghana,81,Barley and products,Production,37987.7914840479,2513,Beer,5.44193796083338,206727.204525263,Beer,0.6276387294936,3.41557102772046,129750
2012,Jamaica,109,Barley and products,Production,10000,2513,DDGS Barley,0.28,2800,DDGS Barley,1,0.28,2800
2015,Kazakhstan,108,Wheat and products,Production,117273.717948718,2511,"Alcohol, Non-Food",0.0236882050551146,2778.0038783449,"Alcohol, Non-Food",0.192017370997746,0.00454854685833862,533.42500134133
2010,North Korea,116,Maize and products,Production,363318.327974277,2514,DDGS,0.11,39965.0160771704,DDGS,0.968847352024922,0.106573208722741,38720
2017,Austria,11,Maize and products,Production,689777.475022707,2514,Maize Germ Oil,0.0589634821099225,40671.6818083289,Maize Germ Oil,0.194265549183944,0.0114545732338817,7901.10660272962
1998,Kyrgyzstan,113,Rape and Mustardseed,Production,25,2558,Rape and Mustard Oil,0.380297152257388,9.50742880643469,Rape and Mustard Oil,1.05180908567329,0.4,10
2010,Austria,11,Maize and products,Production,500968.816312857,2514,Maize Germ Oil,0.0476374020882426,23864.8529363665,Maize Germ Oil,0.194024052665382,0.00924280181161117,4630.35548297718
2000,Egypt,59,Sugar cane,Production,10691713.5857054,2536,Sugar (Raw Equivalent),0.109324126605794,1168862.24967655,Sugar (Raw Equivalent),0.997727096841418,0.109075643453122,1166205.53897731
2012,Russian Federation,185,"Oilcrops, Other",Production,14083.2427990675,2570,"Oilcrops Oil, Other",0.0597640407253189,841.671496188027,"Oilcrops Oil, Other",4.7524479777635404,0.28402549448802,4000
2017,Saint Kitts and Nevis,188,Coconuts - Incl Copra,Production,1500,2560,Coconut Oil,0.135854583046175,203.781874569263,Coconut Oil,2.47391630645491,0.336092868304566,504.139302456849
1969,Guatemala,89,Maize and products,Production,848.678913564275,2514,DDGS,0.11,93.3546804920703,DDGS,0.949711353867586,0.104468248925434,88.66
1999,Thailand,216,Maize and products,Production,29605.504210365,2514,DDGS,0.11,3256.60546314015,DDGS,0.907374621740688,0.0998112083914757,2954.96115027545
1977,Uruguay,234,Sugar cane,Production,527000,2536,"Beverages, Alcoholic",0.015103291366863,7959.43455033678,"Beverages, Alcoholic",0.353234497386188,0.00533500353485099,2811.54686286647
1977,Bulgaria,27,Rye and products,Production,1819.15149892934,2515,DDGS,0.28,509.362419700214,DDGS,0.892976486861646,0.250033416321261,454.848664083245
1981,Denmark,54,Palm kernels,Production,39072,2562,Palmkernel Oil,0.457244160111301,17865.4438238687,Palmkernel Oil,0.886012133594577,0.405123873873874,15829
1987,Lao,120,Cottonseed,Production,7900.50251256281,2559,Cottonseed Cake,0.502109922269,3966.92070246895,Cottonseed Cake,0.973299011900331,0.48870309120977,3861
1970,Zimbabwe,181,Cottonseed,Production,51000,2559,Cottonseed Cake,0.484130570734587,24690.6591074639,Cottonseed Cake,0.929501310601395,0.45,22950
2005,Armenia,1,Apples and products,Production,806.086820574287,2617,"Beverages, Alcoholic",0.0177910593164621,14.3411384390555,"Beverages, Alcoholic",86.276133282909,1.53494380483123,1237.2979713966
2016,Chile,40,Soyabeans,Production,98000,2555,Soyabean Cake,0.79,77420,Soyabean Cake,1.02707068230267,0.811385839019108,79515.8122238726
2021,Venezuela,236,Soyabeans,Production,75974.025974026,2555,Soyabean Cake,0.79,60019.4805194805,Soyabean Cake,0.974196965073473,0.769615602408044,58470.7957673644
2012,Belarus,57,Wheat and products,Production,103177.442877978,2511,Brans,0.21,21667.2630043753,Brans,0.940127970749543,0.197426873857404,20370
1996,France,68,Sugar beet,Production,28250000,2537,Sugarbeet pulp,0.84,23730000,Sugarbeet pulp,1,0.84,23730000
1984,Hungary,97,"Oilcrops, Other",Production,2173.34084452183,2570,"Oilcrops Oil, Other",0.394824518344732,858.088252137267,"Oilcrops Oil, Other",6.95499557899239,2.74600277956541,5968
2013,North Korea,116,Cottonseed,Production,24903.0792917629,2559,Cottonseed Cake,0.518188332508124,12904.4851325162,Cottonseed Cake,0.869697619451762,0.450667159209994,11223
1969,Romania,183,Sugar beet,Production,3752000,2537,"Beverages, Fermented",0.0180300516553237,67648.7538107743,"Beverages, Fermented",0.199462014570151,0.00359631042597473,13493.3567182572
2018,Eritrea,178,"Oilcrops, Other",Production,9547.95894871983,2570,"Oilseed Cakes, Other",0.63,6015.21413769349,"Oilseed Cakes, Other",1,0.63,6015.21413769349
1988,Portugal,174,Wine,Production,8090.61664627792,2655,"Beverages, Alcoholic",0.0199638388050293,161.519766559579,"Beverages, Alcoholic",186.959329625712,3.73242591974404,30197.6272772803
2021,Armenia,1,Apples and products,Production,58635.2941176471,2617,"Beverages, Alcoholic",0.0175753557066463,1030.53615108148,"Beverages, Alcoholic",36.5657741759842,0.642656487831826,37682.3521806332
1966,Pakistan,165,Rape and Mustardseed,Production,80866.0771241667,2558,Rape and Mustard Cake,0.590995624713108,47791.4977680952,Rape and Mustard Cake,0.983354826585362,0.581158400052466,46996
2016,Kazakhstan,108,Wheat and products,Production,63609.8186119874,2511,Beer,4.24746931828362,270180.752896002,Beer,0.73214217690775,3.10975143303704,197810.724583854
