land_use,legumes_spontaneous,source
Cropland,0.05,Storkey et al. 2012; Fried et al. 2009; Cirujeda et al. 2011
Other,0.15,Luscher et al. 2014; Dovrat et al. 2019; Viera-Rodriguez et al. 2005
