item_prod_code,item_prod_name,residue_item_cbs_code
882,Raw milk of cattle,2106
886,Butter of cow milk,2106
887,Ghee from cow milk,2106
890,"Whey, condensed",2106
919,Raw hides and skins of cattle,2106
947,"Meat of buffalo, fresh or chilled",2106
948,"Edible offal of buffalo, fresh, chilled or frozen",2106
949,"Buffalo fat, unrendered",2106
951,Raw milk of buffalo,2106
952,Butter of buffalo milk,2106
953,Ghee from buffalo milk,2106
957,Raw hides and skins of buffaloes,2106
977,"Meat of sheep, fresh or chilled",2106
978,"Edible offal of sheep, fresh, chilled or frozen",2106
979,"Sheep fat, unrendered",2106
982,Raw milk of sheep,2106
983,Butter and ghee of sheep milk,2106
987,"Shorn wool, greasy, including fleece-washed shorn wool",2106
995,Raw hides and skins of sheep or lambs,2106
996,Temporary grassland,2106
1017,"Meat of goat, fresh or chilled",2106
1018,"Edible offal of goat, fresh, chilled or frozen",2106
1019,"Goat fat, unrendered",2106
1020,Raw milk of goats,2106
1022,Butter of goat milk,2106
1025,Raw hides and skins of goats or kids,2106
1035,"Meat of pig with the bone, fresh or chilled",2106
1036,"Edible offal of pigs, fresh, chilled or frozen",2106
1037,Fat of pigs,2106
1043,"Pig fat, rendered",2106
1058,"Meat of chickens, fresh or chilled",2106
1062,"Hen eggs in shell, fresh",2106
1069,"Meat of ducks, fresh or chilled",2106
1073,"Meat of geese, fresh or chilled",2106
1080,"Meat of turkeys, fresh or chilled",2106
1089,"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen",2106
1091,"Eggs from other birds in shell, fresh, n.e.c.",2106
1097,"Horse meat, fresh or chilled",2106
1098,"Edible offals of horses and other equines,  fresh, chilled or frozen",2106
1108,"Meat of asses, fresh or chilled",2106
1111,"Meat of mules, fresh or chilled",2106
1127,"Meat of camels, fresh or chilled",2106
1128,"Edible offals of camels and other camelids, fresh, chilled or frozen",2106
1129,Fat of camels,2106
1130,Raw milk of camel,2106
1141,"Meat of rabbits and hares, fresh or chilled",2106
1151,"Meat of other domestic rodents, fresh or chilled",2106
1158,"Meat of other domestic camelids, fresh or chilled",2106
1163,"Game meat, fresh, chilled or frozen",2106
1166,"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen",2106
1176,"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails",2106
1182,Natural honey,2106
1183,Beeswax,2106
1185,Silk-worm cocoons suitable for reeling,2106
1186,Raw silk (not thrown),2106
1225,Tallow,2106
1242,Margarine and shortening,2106
2108,Flowers,2106
3001,Pasture,2106
3002,range,2106
3003,Fallow,2106
Fallow,Fallow,2106
