item_prod_code,item_prod_name,name_biomass,name_biomass_code,equiv,category,bg_biomass_dm_kg_ha,root_shoot_ratio,product_dm_kgfm,residue_dm_kgfm,conventional_dm_kg_ha,organic_dm_kg_ha,gross_energy_product_edible_portion_mj_kgfm,gross_energy_product_residue_mj_kgfm,gross_energy_product_mj_kgfm,gross_energy_residue_mj_kg,product_kg_aerial_biomass_kg,residue_kg_aerial_biomass_fm_kg,residue_kg_product_fm_kg,carcass_to_live_weight,edible_portion,nitrogen_n_kgfm,lipids_g_kgfm,carbohydrates_g_kgfm,calcium_mg_kgfm,vitamin_a_microg_kgfm,edible_dm_kgfm,edible_c_kgfm,edible_n_kgfm,edible_p_kgfm,edible_k_kgfm,non_edible_dm_kgfm,non_edible_c_kgfm,non_edible_n_kgfm,non_edible_p_kgfm,non_edible_k_kgfm,product_n_kgdm,product_p_kgdm,product_k_kgdm,product_c_kgdm,residue_n_kgdm,residue_p_kgdm,residue_k_kgdm,residue_c_kgdm,residue_humified_c_kgc,dm_mg_m3,root_c_kgdm,root_humified_c_kgc,root_mass_c_kgdm,rhizodeposit_mass_c_kgdm,residue_c_n_ratio,root_n_kgdm,gross_energy_roots_mj_kgdm,rhizodeposit_n_kgn_krootn,fiber_g_kgfm,saturated_fatty_acids_g_kgfm,monounsaturated_fatty_acids_g_kgfm,polyunsaturated_fatty_acids_g_kgfm,polyunsaturated_fatty_acids_n3_g_kgfm,iron_mg_kgfm,zinc_mg_kgfm,magnesium_mg_kgfm,cadmium_microg_kgfm,vitamin_b12_microg_kgfm,vitamin_d_microg_kgfm,folate_microg_kgfm,vitamin_c_mg_kgfm,vitamin_e_mg_kgfm,flavonoids_mg_kgfm,carotenoids_mg_kgfm
89,Buckwheat,Cereals nes,108,Wheat,"Cereals, other",2000,0.2208803042145326,0.8725833333333333,0.8903750000000001,232.075,873.3382333333333,,,14.911096,15.6463818,0.45,0.55,1.222222222222222,,1,0.016023208345896902,11.91240045506257,794.1600303375046,148.90500568828213,0,,,,,,,,,,,0.01836295484201727,0.003656131147489822,0.004156529726417103,0.46,0.00592,0.0007633587786259543,0.01199563794983642,0.4576131147540984,0.1153466666666667,,0.721765,0.1782459207459208,0.4374333333333333,0.2843316666666667,,0.011519329678907772,17.5728,0.7,94.39999999999999,4.2,5.300000000000001,10.2,0,31.1,26.7,1036.5,33.4,0,0,441.7,0,7.199999999999999,800,4
92,Quinoa,Cereals nes,108,Wheat,"Cereals, other",2000,0.2208803042145326,0.8725833333333333,0.8903750000000001,232.075,873.3382333333333,,,14.911096,15.6463818,0.45,0.55,1.222222222222222,,1,0.016023208345896902,11.91240045506257,794.1600303375046,148.90500568828213,0,,,,,,,,,,,0.01836295484201727,0.003656131147489822,0.004156529726417103,0.46,0.00592,0.0007633587786259543,0.01199563794983642,0.4576131147540984,0.1153466666666667,,0.721765,0.1782459207459208,0.4374333333333333,0.2843316666666667,,0.011519329678907772,17.5728,0.7,94.39999999999999,4.2,5.300000000000001,10.2,0,31.1,26.7,1036.5,33.4,0,0,441.7,0,7.199999999999999,800,4
103,Mixed grain,Cereals nes,108,Wheat,"Cereals, other",2000,0.2208803042145326,0.8725833333333333,0.8903750000000001,232.075,873.3382333333333,,,14.911096,15.6463818,0.45,0.55,1.222222222222222,,1,0.016023208345896902,11.91240045506257,794.1600303375046,148.90500568828213,0,,,,,,,,,,,0.01836295484201727,0.003656131147489822,0.004156529726417103,0.46,0.00592,0.0007633587786259543,0.01199563794983642,0.4576131147540984,0.1153466666666667,,0.721765,0.1782459207459208,0.4374333333333333,0.2843316666666667,,0.011519329678907772,17.5728,0.7,94.39999999999999,4.2,5.300000000000001,10.2,0,31.1,26.7,1036.5,33.4,0,0,441.7,0,7.199999999999999,800,4
108,Cereals n.e.c.,Cereals nes,108,Wheat,"Cereals, other",2000,0.2208803042145326,0.8725833333333333,0.8903750000000001,232.075,873.3382333333333,,,14.911096,15.6463818,0.45,0.55,1.222222222222222,,1,0.016023208345896902,11.91240045506257,794.1600303375046,148.90500568828213,0,,,,,,,,,,,0.01836295484201727,0.003656131147489822,0.004156529726417103,0.46,0.00592,0.0007633587786259543,0.01199563794983642,0.4576131147540984,0.1153466666666667,,0.721765,0.1782459207459208,0.4374333333333333,0.2843316666666667,,0.011519329678907772,17.5728,0.7,94.39999999999999,4.2,5.300000000000001,10.2,0,31.1,26.7,1036.5,33.4,0,0,441.7,0,7.199999999999999,800,4
242,"Groundnuts, excluding shelled","Groundnuts, with shell",242,,Oilseeds,1500,0.2,0.9161666666666667,0.8996666666666666,232.075,873.3382333333333,,,15.8096624,15.8096624,0.33003300330033,0.66996699669967,2.03,,0.7,0.0432,490,85,610,0,,,,,,,,,,,0.04715299254138621,0.004999194581928661,0.01237109548873536,0.6,0.016,0.0007777777777777778,0.015,0.4374976520928101,0.1153466666666667,,0.747070446914437,0.1782459207459208,0.4527699678269315,0.2943004790875055,,0.02628151569022647,17.5728,0.7,81,67.5,231.4,131.9,0.4,25,35,2100,36.2,0,0,1100,0,109.4,2,0.5
191,"Chick peas, dry",Chickpea,191,,Legumes,1000,0.19,0.9440000000000001,0.893,232.075,873.3382333333333,,,15.762,15.6925104,0.3703703703703705,0.6296296296296295,1.7,,1,0.03104,50,550,1450,320,,,,,,,,,,,0.03288135593220339,0.004999194581928661,0.01237109548873536,0.46,0.0092,0.0007777777777777778,0.015,0.44,0.1153466666666667,,0.6971830985915493,0.1782459207459208,0.4225352112676056,0.2746478873239437,,0.01797087256748274,17.5728,0.7,149.7,4.3,18,28.1,0,68,20,1220,4.39,0,0,1850,41,31,225,1.5
236,Soya beans,Soyabeans,236,Beans,Oilseeds,1200,0.19,0.86,0.8856666666666667,232.075,873.3382333333333,,,18.197,15.5636432,0.3493159956160843,0.6506840043839157,1.8627375,,1,0.0608,12.24821973550356,459.30824008138353,113.73346897253306,0,,,,,,,,,,,0.07069767441860465,0.006229143492769745,0.01890989988876529,0.52,0.008,0.0007777777777777778,0.015,0.4311666666666666,0.1153466666666667,,1.16125,0.1782459207459208,0.4645,0.69675,,0.029901300562347983,17.5728,2,42,7.9,13,32,13.5,35.5,9.9,650,4.49,0,0,1650,290,1,1000,15
201,"Lentils, dry",Lentils,201,,Legumes,1000,0.2879694022908921,0.8965000000000001,0.9279999999999999,232.075,873.3382333333333,,,15.356,16.3075584,0.3246753246753247,0.6753246753246753,2.08,,1,0.03808,18,540,560,100,,,,,,,,,,,0.04247629670942554,0.004659090909090909,0.01045454545454545,0.46,0.0127,0.0007777777777777778,0.015,0.415,0.1153466666666667,,1.059086,0.1782459207459208,0.4236343366778149,0.635452,,0.02236762880176154,17.5728,2,97,1.7,2.2,5.5,0,68.7,39,743.1999999999999,4.39,0,0,1171,17,9,275,0.8
210,Lupins,Lupin,210,Lentils,Legumes,1500,0.2879694022908921,0.9161666666666667,0.8996666666666666,232.075,873.3382333333333,,,15.8096624,15.8096624,0.3003003003003003,0.6996996996996997,2.33,,1,0.0389153671686187,18.394868934746235,551.8460680423871,572.2848113032162,102.19371630414575,,,,,,,,,,,0.05345093715545755,0.003858875413450937,0.009371554575523704,0.4744444444444445,0.008,0.0007777777777777778,0.015,0.477,0.1153466666666667,,0.80355,0.1782459207459208,0.487,0.31655,,0.02164893007671398,17.5728,0.7,165,4,22,24,0,43.6,47.5,1980,4.39,0,0,3550,0,6,375,3
187,"Peas, dry",Pea,187,,Legumes,1000,0.19,0.9161666666666667,0.8996666666666666,232.075,873.3382333333333,,,15.385,15.8096624,0.3683207693256648,0.6316792306743352,1.715024737352815,,1,0.03456,23,560,720,420,,,,,,,,,,,0.03741203178206584,0.004540295119182748,0.01191827468785471,0.46,0.008,0.0007777777777777778,0.015,0.457,0.1153466666666667,,0.7321383742911154,0.1782459207459208,0.4437202268431002,0.2884181474480151,,0.018833062173401395,17.5728,0.7,167,1.5,1.3,0.5,0,15,35,1230,4.49,0,0,780,180,1,175,4.5
