item_prod_code,item_prod_name,item_type
290,Oil of sesame seed,other
254,Oil palm fruit,other
1841,"Oilcrops, Cake Equivalent",other
1732,"Oilcrops, Oil Equivalent",other
430,Okra,crop_product
261,Olive oil,other
260,Olives,crop_product
403,"Onions and shallots, dry (excluding dehydrated)",crop_product
402,"Onions and shallots, green",crop_product
490,Oranges,crop_product
414,"Other beans, green",crop_product
558,Other berries and fruits of the genus vaccinium n.e.c.,crop_product
512,"Other citrus fruit, n.e.c.",crop_product
821,"Other fibre crops, raw, n.e.c.",crop_product
619,"Other fruits, n.e.c.",crop_product
1166,"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen",other
234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",crop_product
339,"Other oil seeds, n.e.c.",crop_product
542,Other pome fruits,crop_product
211,Other pulses n.e.c.,crop_product
723,"Other stimulant, spice and aromatic crops, n.e.c.",crop_product
541,Other stone fruits,crop_product
161,Other sugar crops n.e.c.,crop_product
603,"Other tropical fruits, n.e.c.",crop_product
463,"Other vegetables, fresh n.e.c.",crop_product
256,Palm kernels,crop_product
257,Palm oil,crop_product
600,Papayas,crop_product
3001,Pasture,other
534,Peaches and nectarines,crop_product
521,Pears,crop_product
187,"Peas, dry",crop_product
417,"Peas, green",crop_product
687,"Pepper (Piper spp.), raw",crop_product
748,"Peppermint, spearmint",crop_product
587,Persimmons,crop_product
1043,"Pig fat, rendered",other
197,"Pigeon peas, dry",crop_product
574,Pineapples,crop_product
223,"Pistachios, in shell",crop_product
489,Plantains and cooking bananas,crop_product
536,Plums and sloes,crop_product
507,Pomelos and grapefruits,crop_product
296,Poppy seed,crop_product
116,Potatoes,crop_product
1726,"Pulses, Total",other
394,"Pumpkins, squash and gourds",crop_product
754,"Pyrethrum, dried flowers",crop_product
523,Quinces,crop_product
92,Quinoa,crop_product
788,"Ramie, raw or retted",crop_product
270,Rape or colza seed,crop_product
271,"Rapeseed or canola oil, crude",other
547,Raspberries,crop_product
162,Raw cane or beet sugar (centrifugal only),other
957,Raw hides and skins of buffaloes,other
919,Raw hides and skins of cattle,other
1025,Raw hides and skins of goats or kids,other
995,Raw hides and skins of sheep or lambs,other
951,Raw milk of buffalo,other
1130,Raw milk of camel,other
882,Raw milk of cattle,other
1020,Raw milk of goats,other
982,Raw milk of sheep,other
1186,Raw silk (not thrown),other
27,Rice,crop_product
1720,"Roots and Tubers, Total",other
71,Rye,crop_product
280,Safflower seed,crop_product
281,"Safflower-seed oil, crude",other
328,"Seed cotton, unginned",other
289,Sesame seed,crop_product
1807,Sheep and Goat Meat,other
979,"Sheep fat, unrendered",other
987,"Shorn wool, greasy, including fleece-washed shorn wool",other
1185,Silk-worm cocoons suitable for reeling,other
789,"Sisal, raw",crop_product
1809,"Skim Milk & Buttermilk, Dry",other
898,Skim milk and whey powder,other
888,Skim milk of cows,other
896,"Skim milk, condensed",other
895,"Skim milk, evaporated",other
1176,"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails",other
83,Sorghum,crop_product
530,Sour cherries,crop_product
237,Soya bean oil,other
236,Soya beans,crop_product
373,Spinach,crop_product
544,Strawberries,crop_product
423,String beans,crop_product
1723,Sugar Crops Primary,other
157,Sugar beet,crop_product
156,Sugar cane,crop_product
267,Sunflower seed,crop_product
268,"Sunflower-seed oil, crude",other
649,Swedes for fodder,crop_product
122,Sweet potatoes,crop_product
1225,Tallow,other
305,Tallowtree seed,crop_product
495,"Tangerines, mandarins, clementines",crop_product
