polity_code,polity_name,V1,code,iso3c,FAOSTAT_name,EU27,name,eia,iea,water_code,water_area,baci,fish,region_code,cbs,fabio_code,ADB_Region,region,uISO3c,Lassaletta,region_krausmann,region_HANPP,region_krausmann2,region_UN_sub,region_UN,region_ILO1,region_ILO2,region_ILO3,region_IEA,region_IPCC,region_labour,region_labour_agg,region_labour_mech,region_test,0,0,0,0,0
DEU,Germany,76,79,DEU,Germany,TRUE,Germany,Germany,Germany,79,Germany,276,276,9,TRUE,79,DE,OECD Europe,1,Germany,Western Europe,West Europe,Europe,Western Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Western Europe,Advanced,Annex_I,Western Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
GHA,Ghana,78,81,GHA,Ghana,FALSE,Ghana,Ghana,Ghana,81,Ghana,288,288,6,TRUE,81,NA,Western Africa,1,Ghana,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Western Africa,Emerging,Annex_II,Western Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
GRC,Greece,81,84,GRC,Greece,TRUE,Greece,Greece,Greece,84,Greece,300,300,9,TRUE,84,GR,OECD Europe,1,Greece,Western Europe,West Europe,Europe,Southern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Advanced,Annex_I,Southern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
GRD,Grenada,83,86,GRD,Grenada,FALSE,Grenada,Grenada,0,86,Grenada,308,308,3,TRUE,86,NA,Central America,1,Grenada,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Caribbean,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
GTM,Guatemala,86,89,GTM,Guatemala,FALSE,Guatemala,Guatemala,Guatemala,89,Guatemala,320,320,3,TRUE,89,NA,Central America,1,Guatemala,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Central America,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
GIN,Guinea,87,90,GIN,Guinea,FALSE,Guinea,Guinea,0,90,Guinea,324,324,6,TRUE,90,NA,Western Africa,1,Guinea,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Western Africa,Emerging,Annex_II,Western Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
GNB,Guinea-Bissau,172,175,GNB,Guinea-Bissau,FALSE,Guinea-Bissau,Guinea-Bissau,0,175,Guinea-Bissau,624,624,6,TRUE,175,NA,Western Africa,1,Guinea-Bissau,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Western Africa,Emerging,Annex_II,Western Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
GUY,Guyana,88,91,GUY,Guyana,FALSE,Guyana,Guyana,0,91,Guyana,328,328,4,TRUE,91,NA,South America,1,Guyana,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,South America,Emerging,Annex_II,Andean & Mexico,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
HTI,Haiti,90,93,HTI,Haiti,FALSE,Haiti,Haiti,Haiti,93,Haiti,332,332,3,TRUE,93,NA,Central America,1,Haiti,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Caribbean,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
HND,Honduras,92,95,HND,Honduras,FALSE,Honduras,Honduras,Honduras,95,Honduras,340,340,3,TRUE,95,NA,Central America,1,Honduras,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Central America,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
HUN,Hungary,94,97,HUN,Hungary,TRUE,Hungary,Hungary,Hungary,97,Hungary,348,348,10,TRUE,97,HU,Eastern Europe,1,Hungary,Eastern and South Eastern Europe,East Europe,Europe,Eastern Europe,Europe,Europe and Central Asia,Eastern Europe,Eastern Europe,Advanced,Annex_I,Eastern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
ISL,Iceland,96,99,ISL,Iceland,FALSE,Iceland,Iceland,Iceland,99,Iceland,352,352,9,TRUE,99,NA,OECD Europe,1,Iceland,Western Europe,West Europe,Europe,Northern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Northern Europe,Advanced,Annex_I,Northern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
IND,India,97,100,IND,India,FALSE,India,India,India,100,India,699,356,13,TRUE,100,NA,South Asia,1,India,Southern Asia,South and Central Asia,Southern Asia,Southern Asia,Asia,Asia and the Pacific,Southern Asia,Southern Asia,Emerging,Annex_II,Southern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
IDN,Indonesia,98,101,IDN,Indonesia,FALSE,Indonesia,Indonesia,Indonesia,101,Indonesia,360,360,15,TRUE,101,NA,South East Asia,1,Indonesia,Southeastern Asia,South and Central Asia,S&E Asia,South-eastern Asia,Asia,Asia and the Pacific,South-Eastern Asia and the Pacific,South-Eastern Asia,Emerging,Annex_II,South-eastern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
IRN,Iran,99,102,IRN,Iran (Islamic Republic of),FALSE,Iran,Iran,Islamic Republic of Iran,102,"Iran, Islamic Republic of",364,364,12,TRUE,102,NA,Middle East,1,Iran (Islamic Republic of),Southern Asia,South and Central Asia,Southern Asia,Southern Asia,Asia,Asia and the Pacific,Southern Asia,Southern Asia,Emerging,Annex_II,Southern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
IRQ,Iraq,100,103,IRQ,Iraq,FALSE,Iraq,Iraq,Iraq,103,Iraq,368,368,12,TRUE,103,NA,Middle East,1,Iraq,Northern Africa and Western Asia,North Africa and West Asia,MENA,Western Asia,Asia,Arab States,Arab States,Arab States,Emerging,Annex_II,Western Asia,MENA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
IRL,Ireland,101,104,IRL,Ireland,TRUE,Ireland,Ireland,Ireland,104,Ireland,372,372,9,TRUE,104,IE,OECD Europe,1,Ireland,Western Europe,West Europe,Europe,Northern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Northern Europe,Advanced,Annex_I,Northern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
ISR,Israel,102,105,ISR,Israel,FALSE,Israel,Israel,Israel,105,Israel,376,376,12,TRUE,105,NA,Middle East,1,Israel,Northern Africa and Western Asia,North Africa and West Asia,MENA,Western Asia,Asia,Europe and Central Asia,Central and Western Asia,Western Asia,Advanced,Annex_II,Western Asia,MENA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
ITA,Italy,103,106,ITA,Italy,TRUE,Italy,Italy,Italy,106,Italy,381,380,9,TRUE,106,IT,OECD Europe,1,Italy,Western Europe,West Europe,Europe,Southern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Advanced,Annex_I,Southern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
CIV,Ivory Coast,104,107,CIV,Côte d'Ivoire,FALSE,Ivory Coast,Cote dIvoire (IvoryCoast),CÃ´te d'Ivoire,107,CÃ´te d'Ivoire,384,384,6,TRUE,107,NA,Western Africa,1,Cote d'Ivoire,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Western Africa,Emerging,Annex_II,Western Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
JAM,Jamaica,106,109,JAM,Jamaica,FALSE,Jamaica,Jamaica,Jamaica,109,Jamaica,388,388,3,TRUE,109,NA,Central America,1,Jamaica,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Caribbean,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
JPN,Japan,107,110,JPN,Japan,FALSE,Japan,Japan,Japan,110,Japan,392,392,17,TRUE,110,NA,Japan,1,Japan,Eastern Asia,East Asia,S&E Asia,Eastern Asia,Asia,Asia and the Pacific,Eastern Asia,Eastern Asia,Advanced,Annex_I,Eastern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
JOR,Jordan,109,112,JOR,Jordan,FALSE,Jordan,Jordan,Jordan,112,Jordan,400,400,12,TRUE,112,NA,Middle East,1,Jordan,Northern Africa and Western Asia,North Africa and West Asia,MENA,Western Asia,Asia,Arab States,Arab States,Arab States,Emerging,Annex_II,Western Asia,MENA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
KAZ,Kazakhstan,105,108,KAZ,Kazakhstan,FALSE,Kazakhstan,Kazakhstan,Kazakhstan,108,Kazakhstan,398,398,11,TRUE,108,NA,Former USSR,1,Kazakhstan,Central Asia and Russian Federation,South and Central Asia,CAS & Russia,Central Asia,Asia,Europe and Central Asia,Central and Western Asia,Central Asia,Emerging,Annex_II,FSU,FSU,mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
KEN,Kenya,111,114,KEN,Kenya,FALSE,Kenya,Kenya,Kenya,114,Kenya,404,404,7,TRUE,114,NA,Eastern Africa,1,Kenya,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
KIR,Kiribati,80,83,KIR,Kiribati,FALSE,Kiribati,Kiribati,0,83,Kiribati,296,296,16,TRUE,83,NA,Oceania,1,Kiribati,Australia and Oceania,North America and Oceania,Oceania,Micronesia,Oceania,Asia and the Pacific,South-Eastern Asia and the Pacific,Pacific Islands,Emerging,Annex_II,Pacific,AUS,mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
KWT,Kuwait,115,118,KWT,Kuwait,FALSE,Kuwait,Kuwait,Kuwait,118,Kuwait,414,414,12,TRUE,118,NA,Middle East,1,Kuwait,Northern Africa and Western Asia,North Africa and West Asia,MENA,Western Asia,Asia,Arab States,Arab States,Arab States,Emerging,Annex_II,Western Asia,MENA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
KGZ,Kyrgyzstan,110,113,KGZ,Kyrgyzstan,FALSE,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,113,Kyrgyzstan,417,417,11,TRUE,113,NA,Former USSR,1,Kyrgyzstan,Central Asia and Russian Federation,South and Central Asia,CAS & Russia,Central Asia,Asia,Europe and Central Asia,Central and Western Asia,Central Asia,Emerging,Annex_II,FSU,FSU,mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
LAO,Lao,117,120,LAO,Lao People's Democratic Republic,FALSE,Lao,Laos,0,120,Lao People's Democratic Republic,418,418,15,TRUE,120,NA,South East Asia,1,Lao People's Democratic Republic,Southeastern Asia,South and Central Asia,S&E Asia,South-eastern Asia,Asia,Asia and the Pacific,South-Eastern Asia and the Pacific,South-Eastern Asia,Emerging,Annex_II,South-eastern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
LVA,Latvia,116,119,LVA,Latvia,TRUE,Latvia,Latvia,Latvia,119,Latvia,428,428,11,TRUE,119,LV,Former USSR,1,Latvia,Eastern and South Eastern Europe,East Europe,Europe,Northern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Northern Europe,Emerging,Annex_I,FSU,FSU,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
LBN,Lebanon,118,121,LBN,Lebanon,FALSE,Lebanon,Lebanon,Lebanon,121,Lebanon,422,422,12,TRUE,121,NA,Middle East,1,Lebanon,Northern Africa and Western Asia,North Africa and West Asia,MENA,Western Asia,Asia,Arab States,Arab States,Arab States,Emerging,Annex_II,Western Asia,MENA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
LSO,Lesotho,119,122,LSO,Lesotho,FALSE,Lesotho,Lesotho,0,122,Lesotho,426,426,8,TRUE,122,NA,Southern Africa,1,Lesotho,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Southern Africa,Emerging,Annex_II,Southern Africa,SAA,mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
LBR,Liberia,120,123,LBR,Liberia,FALSE,Liberia,Liberia,0,123,Liberia,430,430,6,TRUE,123,NA,Western Africa,1,Liberia,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Western Africa,Emerging,Annex_II,Western Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
LBY,Libya,121,124,LBY,Libya,FALSE,Libya,Libya,Libya,124,Libyan Arab Jamahiriya,434,434,5,TRUE,124,NA,Northern Africa,1,Libya,Northern Africa and Western Asia,North Africa and West Asia,MENA,Northern Africa,Africa,Africa,Northern Africa,Northern Africa,Emerging,Annex_II,Northern Africa,MENA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
LTU,Lithuania,123,126,LTU,Lithuania,TRUE,Lithuania,Lithuania,Lithuania,126,Lithuania,440,440,11,TRUE,126,LT,Former USSR,1,Lithuania,Eastern and South Eastern Europe,East Europe,Europe,Northern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Northern Europe,Emerging,Annex_I,FSU,FSU,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
LUX,Luxembourg,247,256,LUX,Luxembourg,TRUE,Luxembourg,Luxembourg,Luxembourg,256,Luxembourg,442,442,9,TRUE,256,LU,OECD Europe,1,Luxembourg,Western Europe,West Europe,Europe,Western Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Western Europe,Advanced,Annex_I,Western Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
MKD,North Macedonia,151,154,MKD,North Macedonia,FALSE,North Macedonia,Macedonia,Former Yugoslav Republic of Macedonia,154,The former Yugoslav Republic of Macedonia,807,807,10,TRUE,999,NA,Eastern Europe,1,North Macedonia,Eastern and South Eastern Europe,East Europe,Europe,Southern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Emerging,Annex_II,Southern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
MDG,Madagascar,126,129,MDG,Madagascar,FALSE,Madagascar,Madagascar,0,129,Madagascar,450,450,7,TRUE,129,NA,Eastern Africa,1,Madagascar,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
MWI,Malawi,127,130,MWI,Malawi,FALSE,Malawi,Malawi,0,130,Malawi,454,454,8,TRUE,130,NA,Southern Africa,1,Malawi,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
MYS,Malaysia,128,131,MYS,Malaysia,FALSE,Malaysia,Malaysia,Malaysia,131,Malaysia,458,458,15,TRUE,131,NA,South East Asia,1,Malaysia,Southeastern Asia,South and Central Asia,S&E Asia,South-eastern Asia,Asia,Asia and the Pacific,South-Eastern Asia and the Pacific,South-Eastern Asia,Emerging,Annex_II,South-eastern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
MDV,Maldives,129,132,MDV,Maldives,FALSE,Maldives,Maldives,0,132,Maldives,462,462,13,TRUE,132,NA,South Asia,1,Maldives,Southern Asia,South and Central Asia,Southern Asia,Southern Asia,Asia,Asia and the Pacific,Southern Asia,Southern Asia,Emerging,Annex_II,Southern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
MLI,Mali,130,133,MLI,Mali,FALSE,Mali,Mali,0,133,Mali,466,466,6,TRUE,133,NA,Western Africa,1,Mali,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Western Africa,Emerging,Annex_II,Western Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
MLT,Malta,131,134,MLT,Malta,TRUE,Malta,Malta,Malta,134,Malta,470,470,9,TRUE,134,NA,OECD Europe,1,Malta,Western Europe,West Europe,Europe,Southern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Emerging,Annex_II,Southern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
MRT,Mauritania,133,136,MRT,Mauritania,FALSE,Mauritania,Mauritania,0,136,Mauritania,478,478,6,TRUE,136,NA,Western Africa,1,Mauritania,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Western Africa,Emerging,Annex_II,Western Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
MUS,Mauritius,134,137,MUS,Mauritius,FALSE,Mauritius,Mauritius,Mauritius,137,Mauritius,480,480,7,TRUE,137,NA,Eastern Africa,1,Mauritius,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
MEX,Mexico,135,138,MEX,Mexico,FALSE,Mexico,Mexico,Mexico,138,Mexico,484,484,3,TRUE,138,NA,Central America,1,Mexico,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Central America,Emerging,Annex_II,Andean & Mexico,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
MDA,Republic of Moldova,143,146,MDA,Republic of Moldova,FALSE,Moldova,Moldova,Republic of Moldova,146,Moldova,498,498,11,TRUE,146,NA,Former USSR,1,Moldova,Eastern and South Eastern Europe,East Europe,Europe,Eastern Europe,Europe,Europe and Central Asia,Eastern Europe,Eastern Europe,Emerging,Annex_II,FSU,FSU,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
MNG,Mongolia,138,141,MNG,Mongolia,FALSE,Mongolia,Mongolia,Mongolia,141,Mongolia,496,496,14,TRUE,141,NA,East Asia,1,Mongolia,Eastern Asia,East Asia,S&E Asia,Eastern Asia,Asia,Asia and the Pacific,Eastern Asia,Eastern Asia,Emerging,Annex_II,Eastern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
MNE,Montenegro,253,273,MNE,Montenegro,FALSE,Montenegro,Montenegro,Montenegro,186,Serbia and Montenegro,499,499,9,TRUE,273,NA,OECD Europe,1,Montenegro,Western Europe,West Europe,Europe,Southern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Emerging,Annex_II,Southern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
MAR,Morocco,140,143,MAR,Morocco,FALSE,Morocco,Morocco,Morocco,143,Morocco,504,504,5,TRUE,143,NA,Northern Africa,1,Morocco,Northern Africa and Western Asia,North Africa and West Asia,MENA,Northern Africa,Africa,Africa,Northern Africa,Northern Africa,Emerging,Annex_II,Northern Africa,MENA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
MOZ,Mozambique,141,144,MOZ,Mozambique,FALSE,Mozambique,Mozambique,Mozambique,144,Mozambique,508,508,8,TRUE,144,NA,Southern Africa,1,Mozambique,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
MMR,Myanmar,28,28,MMR,Myanmar,FALSE,Myanmar,Burma (Myanmar),Myanmar,28,Myanmar,104,104,15,TRUE,28,NA,South East Asia,1,Myanmar,Southeastern Asia,South and Central Asia,S&E Asia,South-eastern Asia,Asia,Asia and the Pacific,South-Eastern Asia and the Pacific,South-Eastern Asia,Emerging,Annex_II,South-eastern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
NAM,Namibia,144,147,NAM,Namibia,FALSE,Namibia,Namibia,Namibia,147,Namibia,516,516,8,TRUE,147,NA,Southern Africa,1,Namibia,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Southern Africa,Emerging,Annex_II,Southern Africa,SAA,mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
NPL,Nepal,146,149,NPL,Nepal,FALSE,Nepal,Nepal,Nepal,149,Nepal,524,524,13,TRUE,149,NA,South Asia,1,Nepal,Southern Asia,South and Central Asia,Southern Asia,Southern Asia,Asia,Asia and the Pacific,Southern Asia,Southern Asia,Emerging,Annex_II,Southern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
NLD,Netherlands,147,150,NLD,Netherlands (Kingdom of the),TRUE,Netherlands,Netherlands,Netherlands,150,Netherlands,528,528,9,TRUE,150,NL,OECD Europe,1,Netherlands,Western Europe,West Europe,Europe,Western Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Western Europe,Advanced,Annex_I,Western Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
NZL,New Zealand,153,156,NZL,New Zealand,FALSE,New Zealand,New Zealand,New Zealand,156,New Zealand,554,554,16,TRUE,156,NA,Oceania,1,New Zealand,Australia and Oceania,North America and Oceania,Oceania,Australia and New Zealand,Oceania,Asia and the Pacific,South-Eastern Asia and the Pacific,Pacific Islands,Advanced,Annex_I,Pacific,AUS,mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
NIC,Nicaragua,154,157,NIC,Nicaragua,FALSE,Nicaragua,Nicaragua,Nicaragua,157,Nicaragua,558,558,3,TRUE,157,NA,Central America,1,Nicaragua,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Central America,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
NER,Niger,155,158,NER,Niger,FALSE,Niger,Niger,Niger,158,Niger,562,562,6,TRUE,158,NA,Western Africa,1,Niger,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Western Africa,Emerging,Annex_II,Western Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
NGA,Nigeria,156,159,NGA,Nigeria,FALSE,Nigeria,Nigeria,Nigeria,159,Nigeria,566,566,6,TRUE,159,NA,Western Africa,1,Nigeria,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Western Africa,Emerging,Annex_II,Western Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
PRK,North Korea,113,116,PRK,Democratic People's Republic of Korea,FALSE,North Korea,"Korea, North",Democratic People's Republic of Korea,116,"Korea, Democratic People's Republic of",408,408,14,TRUE,116,NA,East Asia,1,DPRepublic of Korea,Eastern Asia,East Asia,S&E Asia,Eastern Asia,Asia,Asia and the Pacific,Eastern Asia,Eastern Asia,Emerging,Annex_II,Eastern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
NOR,Norway,159,162,NOR,Norway,FALSE,Norway,Norway,Norway,162,Norway,579,578,9,TRUE,162,NA,OECD Europe,1,Norway,Western Europe,West Europe,Europe,Northern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Northern Europe,Advanced,Annex_I,Northern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
OMN,Oman,217,221,OMN,Oman,FALSE,Oman,Oman,Oman,221,Oman,512,512,12,TRUE,221,NA,Middle East,1,Oman,Northern Africa and Western Asia,North Africa and West Asia,MENA,Western Asia,Asia,Arab States,Arab States,Arab States,Emerging,Annex_II,Western Asia,MENA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
PAK,Pakistan,162,165,PAK,Pakistan,FALSE,Pakistan,Pakistan,Pakistan,165,Pakistan,586,586,13,TRUE,165,NA,South Asia,1,Pakistan,Southern Asia,South and Central Asia,Southern Asia,Southern Asia,Asia,Asia and the Pacific,Southern Asia,Southern Asia,Emerging,Annex_II,Southern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
PSE,Palestine,258,299,PSE,Palestine,FALSE,Palestine,Palestinian Territories,0,299,Occupied Palestinian Territory,275,275,12,FALSE,999,NA,Middle East,1,Occupied Palestinian Territory,Northern Africa and Western Asia,North Africa and West Asia,MENA,Western Asia,Asia,Arab States,Arab States,Arab States,Emerging,Annex_II,Western Asia,MENA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
PAN,Panama,163,166,PAN,Panama,FALSE,Panama,Panama,Panama,166,Panama,591,591,3,TRUE,166,NA,Central America,1,Panama,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Central America,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
PNG,Papua New Guinea,165,168,PNG,Papua New Guinea,FALSE,Papua New Guinea,Papua New Guinea,0,168,Papua New Guinea,598,598,16,TRUE,168,NA,Oceania,1,Papua New Guinea,Australia and Oceania,North America and Oceania,Oceania,Melanesia,Oceania,Asia and the Pacific,South-Eastern Asia and the Pacific,Pacific Islands,Emerging,Annex_II,Pacific,AUS,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
PRY,Paraguay,166,169,PRY,Paraguay,FALSE,Paraguay,Paraguay,Paraguay,169,Paraguay,600,600,4,TRUE,169,NA,South America,1,Paraguay,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,South America,Emerging,Annex_II,South America - South Cone,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
PER,Peru,167,170,PER,Peru,FALSE,Peru,Peru,Peru,170,Peru,604,604,4,TRUE,170,NA,South America,1,Peru,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,South America,Emerging,Annex_II,Andean & Mexico,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
