item_prod,item_code_prod,item_cbs,item_code_cbs,group,Live_anim,Live_anim_code,Cat_Krausmann,Name_biomass,Name_Eurostat,Name,Cat_Labour,Cat_FAO1,Cat_Origin,Cat_Use,Order,Categ,Farm_class,c3_c4,ann_per_nfx
"Chick peas, dry",191,"Pulses, Other and products",2549.0,Primary crops,,,Pulses,Chickpea,,Chickpeas,Pulses,Pulses,Cereals,Grains,1.0,Pulses,COP,c3,nfx
"Cow peas, dry",195,"Pulses, Other and products",2549.0,Primary crops,,,Pulses,Pulses nes,,Pulses_nes,Pulses,Pulses,Cereals,Grains,1.0,Pulses,COP,c3,nfx
"Pigeon peas, dry",197,"Pulses, Other and products",2549.0,Primary crops,,,Pulses,Pulses nes,,Pulses_nes,Pulses,Pulses,Cereals,Grains,1.0,Pulses,COP,c3,nfx
"Lentils, dry",201,"Pulses, Other and products",2549.0,Primary crops,,,Pulses,Lentils,,Lentils,Pulses,Pulses,Cereals,Grains,1.0,Pulses,COP,c3,nfx
"Bambara beans, dry",203,"Pulses, Other and products",2549.0,Primary crops,,,Pulses,Pulses nes,,Pulses_nes,Pulses,Pulses,Cereals,Grains,1.0,Pulses,COP,c3,nfx
Vetches,205,"Pulses, Other and products",2549.0,Primary crops,,,Pulses,Vetch,,Vetches,Pulses,Pulses,Cereals,Grains,1.0,Pulses,COP,c3,nfx
Lupins,210,"Pulses, Other and products",2549.0,Primary crops,,,Pulses,Lupin,,Lupins,Pulses,Pulses,Cereals,Grains,1.0,Pulses,COP,c3,nfx
Other pulses n.e.c.,211,"Pulses, Other and products",2549.0,Primary crops,,,Pulses,Pulses nes,,Pulses_nes,Pulses,Pulses,Cereals,Grains,1.0,Pulses,COP,c3,nfx
"Brazil nuts, in shell",216,Nuts and products,2551.0,Primary crops,,,Permanent crops,Nuts nes,,Nuts_nes,Treenuts,Treenuts,Vegetables and Fruits,Vegetables and Fruits,1.0,Treenuts,Fruits,c3,per
"Cashew nuts, in shell",217,Nuts and products,2551.0,Primary crops,,,Permanent crops,Nuts nes,,Nuts_nes,Treenuts,Treenuts,Vegetables and Fruits,Vegetables and Fruits,1.0,Treenuts,Fruits,c3,per
"Chestnuts, in shell",220,Nuts and products,2551.0,Primary crops,,,Permanent crops,Chestnut,,Chestnut,Treenuts,Treenuts,Vegetables and Fruits,Vegetables and Fruits,1.0,Treenuts,Fruits,c3,per
"Almonds, in shell",221,Nuts and products,2551.0,Primary crops,,,Permanent crops,Almonds,,Almonds,Treenuts,Treenuts,Vegetables and Fruits,Vegetables and Fruits,1.0,Treenuts,Olive,c3,per
"Walnuts, in shell",222,Nuts and products,2551.0,Primary crops,,,Permanent crops,Walnut,,Walnuts,Treenuts,Treenuts,Vegetables and Fruits,Vegetables and Fruits,1.0,Treenuts,Fruits,c3,per
"Pistachios, in shell",223,Nuts and products,2551.0,Primary crops,,,Permanent crops,Pistachios,,Pistachios,Treenuts,Treenuts,Vegetables and Fruits,Vegetables and Fruits,1.0,Treenuts,Fruits,c3,per
Kola nuts,224,Nuts and products,2551.0,Primary crops,,,Permanent crops,Nuts nes,,Nuts_nes,Treenuts,Treenuts,Vegetables and Fruits,Vegetables and Fruits,1.0,Treenuts,Fruits,c3,per
"Hazelnuts, in shell",225,Nuts and products,2551.0,Primary crops,,,Permanent crops,Hazelnut,,Hazelnuts,Treenuts,Treenuts,Vegetables and Fruits,Vegetables and Fruits,1.0,Treenuts,Fruits,c3,per
