Code,Name_biomass,Equiv,Category,BG_Biomass_kgDM_ha,Root_Shoot_ratio,Product_kgDM_kgFM,Residue_kgDM_kgFM,Conventional_kgDM_ha,Organic_kgDM_ha,GE_product_edible_portion_MJ_kgFM,GE_product_residue_MJ_kgFM,GE_product_MJ_kgFM,GE_residue_MJ_kg,kg_product_kg_aerial_biomass,kg_residue_kg_aerial_biomass_FM,kg_residue_kg_product_FM,Carcass_to_LW,Edible_portion,N_kgN_kgFM,Lipids_g_kgFM,Carbohydrates_g_kgFM,Calcium_mg_kgFM,VitaminA_microg_kgFM,Edible_kgDM_kgFM,Edible_kgC_kgFM,Edible_N_kgFM,Edible_kgP_kgFM,Edible_K_kgFM,NonEdible_kgDM_kgFM,NonEdible_kgC_kgFM,NonEdible_kgN_kgFM,NonEdible_kgP_kgFM,NonEdible_kgK_kgFM,Product_kgN_kgDM,Product_kgP_kgDM,Product_kgK_kgDM,Product_kgC_kgDM,Residue_kgN_kgDM,Residue_kgP_kgDM,Residue_kgK_kgDM,Residue_kgC_kgDM,Residue_humified_kgC_kgC,MgDM_m3,Root_kgC_kgDM,Root_humified_kgC_kgC,Root_mass_kgC_kgDM,Rhizodeposits_mass_kgC_kgDM,Residue_C_N,Root_kgN_kgDM,GE_Roots_MJ_kgDM,Rhizodeposits_N_kgN_kgRootN,Fiber_g_kgFM,SFA_g_kgFM,MUFA_g_kgFM,PUFA_g_kgFM,PUFA_n3_g_kgFM,Iron_mg_kgFM,Zinc_mg_kgFM,Magnesium_mg_kgFM,Cadmium_microg_kgFM,VitaminB12_microg_kgFM,VitaminD_microg_kgFM,Folate_microg_kgFM,VitaminC_mg_kgFM,VitaminE_mg_kgFM,Flavonoids_mg_kgFM,Carotenoids_mg_kgFM,
75,Oats,Wheat,"Cereals, other",3393.3333333333335,0.4024040558156538,0.8673333333333333,0.907,232.075,873.3382333333333,,,15.176000000000002,15.9385296,0.4121750158528852,0.5878249841471148,1.4261538461538463,,1.0,0.013414755555555553,71.0,598.0,796.0,0.0,,,,,,,,,,,0.015466666666666665,0.003666666666666667,0.004,0.46,0.007,0.0007633587786259543,0.011995637949836423,0.47206666666666663,0.11534666666666667,,0.76065,0.17824592074592077,0.461,0.29965,,0.010489748467554426,17.5728,0.7,106.0,12.0,22.0,25.0,0.0,47.199999999999996,39.7,1770.0,33.4,0.0,0.0,560.0,0.0,7.0,200.0,3.0,
44,Barley,Wheat,Barley,1543.9522916269068,0.2101117854410646,0.885,0.8640000000000001,232.075,873.3382333333333,,,15.626,15.182899200000003,0.4537303075401399,0.5462696924598601,1.2039523994361643,,1.0,0.016480821268153638,12.081911262798636,805.4607508532423,151.02389078498294,0.0,,,,,,,,,,,0.01862239691316795,0.0037872787360674178,0.004456936557556556,0.46,0.007,0.0007633587786259543,0.011995637949836423,0.4467,0.11534666666666667,,0.8085,0.17824592074592077,0.49,0.3185,,0.012273433725765266,17.5728,0.7,148.0,3.0,2.0,7.0,0.0,60.0,33.0,910.0,33.4,0.0,0.0,500.0,100.0,2.0,600.0,5.0,
27,Rice,,Rice,,0.22,0.8640000000000001,0.91,232.075,873.3382333333333,,,15.176000000000002,15.991248,0.4545454545454546,0.5454545454545454,1.2,,1.0,0.011889908256880737,9.0,860.0,100.0,0.0,,,,,,,,,,,0.013761467889908258,0.0011467889908256881,0.0013761467889908255,0.46,0.007,0.0007633587786259543,0.011995637949836423,0.4005357142857143,0.11534666666666667,,0.51315,0.17824592074592077,0.311,0.20215,,0.010073394495412846,17.5728,0.7,18.5,2.1,2.3000000000000003,3.2,0.0,5.0,2.0,130.0,33.4,0.0,0.0,200.0,0.0,3.0,300.0,0.0,
79,Millet,Maize,"Cereals, other",,0.25,0.8805,0.9,232.075,873.3382333333333,,,15.123800000000001,15.815520000000001,0.44999999999999996,0.55,1.2222222222222223,,1.0,0.013579852148171853,27.579466357308583,776.3109048723898,122.57540603248259,0.0,,,,,,,,,,,0.015422887164306478,0.0032554604368349466,0.0038328399605301756,0.46,0.007,0.0007633587786259543,0.011995637949836423,0.42792857142857155,0.11534666666666667,,0.7392000000000001,0.17824592074592077,0.448,0.2912,,0.010790299223937915,17.5728,0.7,70.0,6.1,9.8,17.5,0.0,39.0,30.0,1300.0,33.4,0.0,0.0,384.0,0.0,8.100000000000001,900.0,3.0,
71,Rye,,"Cereals, other",,0.14,0.8759999999999999,0.924,232.075,873.3382333333333,,,14.137,16.2372672,0.4347826086956521,0.5652173913043479,1.3,,1.0,0.013670313901345288,19.3,597.0,270.0,0.0,,,,,,,,,,,0.01560538116591928,0.0033632286995515692,0.004484304932735426,0.46,0.005,0.0007633587786259543,0.011995637949836423,0.47424,0.11534666666666667,,0.6996,0.17824592074592077,0.424,0.2756,,0.00961103528953012,17.5728,0.7,146.0,2.9,3.0,11.0,0.0,26.7,37.3,1210.0,33.4,0.0,0.0,600.0,0.0,18.700000000000003,300.0,3.5,
83,Sorghum,Maize,"Cereals, other",,0.08620689655172414,0.865,0.87,232.075,873.3382333333333,,,15.982880000000002,15.288336000000001,0.37234492680037223,0.6276550731996278,1.6856818181818183,,1.0,0.01616,27.093967517401392,762.6450116009281,120.41763341067285,0.0,,,,,,,,,,,0.01868208092485549,0.0034482758620689655,0.004022988505747126,0.46,0.007,0.0007633587786259543,0.011995637949836423,0.45564,0.11534666666666667,,0.7656000000000001,0.17824592074592077,0.464,0.30160000000000003,,0.011349763566841344,17.5728,0.7,70.0,6.1,9.8,17.5,0.0,39.0,30.0,1300.0,33.4,0.0,0.0,384.0,0.0,8.100000000000001,900.0,3.0,
15,Wheat,,Wheat,2028.6683870967743,0.20340943141706594,0.879,0.8665,232.075,873.3382333333333,,,15.226831200000001,15.226831200000001,0.4234795088948853,0.5765204911051147,1.3613893446925118,,1.0,0.018951324393104405,12.0,800.0,150.0,0.0,,,,,,,,,,,0.021560096010357684,0.0035144480397353815,0.0040126526216947515,0.46,0.00592,0.0007633587786259543,0.011995637949836423,0.45799749999999995,0.11534666666666667,,0.7656000000000001,0.17824592074592077,0.464,0.30160000000000003,,0.012543260177535126,17.5728,0.7,10.0,3.7,2.7,11.0,0.0,33.0,41.0,1470.0,33.4,0.0,0.0,490.0,0.0,14.0,325.0,5.5,
56,Maize,,Maize,4615.777777777777,0.2430548086022893,0.862,0.8809999999999999,232.075,873.3382333333333,,,14.438400000000001,15.481636799999999,0.515103215021576,0.484896784978424,0.9413584905660377,,1.0,0.01248,27.0,760.0,120.0,0.0,,,,,,,,,,,0.014477958236658933,0.003062645011600928,0.0036426914153132248,0.44,0.00592,0.0007633587786259543,0.011995637949836423,0.43383888888888894,0.11534666666666667,,0.6798000000000001,0.17824592074592077,0.41200000000000003,0.26780000000000004,,0.010328231801723393,17.5728,0.7,27.0,1.3,2.4,4.2,0.0,7.0,3.0,300.0,33.4,0.0,0.0,300.0,60.0,4.0,600.0,37.5,
,"Winter cereals, other",Wheat,"Cereals, other",,0.2389813181684461,0.8725833333333333,0.8903750000000001,232.075,873.3382333333333,,,14.911096,15.646381800000004,0.44999999999999996,0.55,1.2222222222222223,,1.0,0.0160232083458969,11.91240045506257,794.1600303375046,148.90500568828213,0.0,,,,,,,,,,,0.018362954842017266,0.0036561311474898224,0.004156529726417103,0.46,0.00592,0.0007633587786259543,0.011995637949836423,0.45761311475409844,0.11534666666666667,,0.721765,0.17824592074592077,0.43743333333333334,0.2843316666666667,,0.011519329678907769,17.5728,0.7,133.3,7.9,12.4,18.0,0.0,40.0,36.7,1296.6999999999998,33.4,0.0,0.0,530.0,0.0,7.7,550.0,3.0,
,"Summer cereals, other",Maize,"Cereals, other",,0.19981542628850338,0.8634999999999999,0.8755,232.075,873.3382333333333,,,15.210640000000001,15.384986399999999,0.44999999999999996,0.55,1.2222222222222223,,1.0,0.013317663066378643,27.046983758700694,761.322505800464,120.20881670533642,0.0,,,,,,,,,,,0.015422887164306478,0.0032554604368349466,0.0038328399605301756,0.455,0.00592,0.0007633587786259543,0.011995637949836423,0.42792857142857155,0.11534666666666667,,0.6927800000000002,0.17824592074592077,0.4198666666666667,0.2729133333333334,,0.010196299223937916,17.5728,0.7,50.0,1.7000000000000002,2.4,3.7,0.0,6.0,16.0,715.0,33.4,0.0,0.0,250.0,60.0,5.0,800.0,2.5,
