item_cbs,item_code_cbs,comm_code,proc_code,proc,unit,group,feedtype_graniv,feedtype_grazers,comm_group,Cat_1,Name_biomass,dbMFA_items,FEDNA,default_destiny
Soyabean Cake,2590.0,p2590,p067,Soyabean Oil extraction,tonnes,Crop products,crops,crops,Oil cakes,Cakes,Soyabean Cake,Cakes,CONC.PROTEINA SOJA-EXTR.,Feed
Rape and Mustard Cake,2593.0,p2593,p070,Rape and Mustard Oil extraction,tonnes,Crop products,crops,crops,Oil cakes,Cakes,Rapeseed cake,Cakes,HNA COLZA PROMEDIO,Feed
Sesameseed Cake,2597.0,p2597,p075,Sesameseed Oil extraction,tonnes,Crop products,crops,crops,Oil cakes,Cakes,Cakes,Cakes,TORTA LINO PRESION,Feed
Soy hulls,2103.0,p2103,p067,Soyabean Oil extraction,tonnes,Crop products,residues,residues,Other processing residues,Brans,Soy hulls,Animal Feed Processed,CASCARILLA SOJA 10%PB,Feed
Sugarbeet pulp,2104.0,p2104,p065,Sugar production,tonnes,Crop products,residues,residues,Other processing residues,Cakes,Sugar beet pulp,Animal Feed Processed,PULPA REMOLACHA 4% CENIZAS,Feed
DDGS,2101.0,p2101,p084,"Alcohol production, Non-Food",tonnes,Crop products,crops,crops,Other processing residues,Cakes,DDGS Wheat,Animal Feed Processed,#N/A,Feed
DDGS Barley,2102.0,p2102,p084,"Alcohol production, Non-Food",tonnes,Crop products,crops,crops,Other processing residues,Cakes,DDGS Barley,Animal Feed Processed,DDGS CEBADA,Feed
Brans,2111.0,#N/A,#N/A,#N/A,tonnes,Crop products,residues,residues,Other processing residues,Brans,Cereal brans,Animal Feed Processed,SALVADO TRIGO 15% ALMIDÓN,Feed
"Cake, maize",2109.0,#N/A,#N/A,#N/A,tonnes,Crop products,crops,crops,Other processing residues,Cakes,DDGS Maize,Animal Feed Processed,DDGS MAIZ PROMEDIO,Other_uses
Molasses,2544.0,p2544,p065,Sugar production,tonnes,Crop products,crops,crops,"Sugar, sweeteners",Molasses,Sugar beet molasses,Animal Feed Processed,MELAZA CAÑA,Other_uses
Sugar (Raw Equivalent),2542.0,p2542,p065,Sugar production,tonnes,Crop products,crops,crops,"Sugar, sweeteners",Sugar,White sugar,Sugar,MELAZA CAÑA,Other_uses
"Sweeteners, Other",2543.0,p2543,p066,"Sweeteners production, Other",tonnes,Crop products,crops,crops,"Sugar, sweeteners",Sugar,White sugar,Sugar,0,Other_uses
