item_cbs,item_code_cbs,comm_code,proc_code,proc,unit,group,feedtype_graniv,feedtype_grazers,comm_group,Cat_1,Name_biomass,dbMFA_items,FEDNA,default_destiny
Plantains,2616.0,p2616,p039,Plantains production,tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Fruits,"Bananas, platains",Bananas and tropical,PULPA MANZANA,Food
Cloves,2642.0,p2642,p051,Cloves production,tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Spices,"Spices, Other",Species,PULPA MANZANA,Food
Bananas,2615.0,p2615,p038,Bananas production,tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Fruits,"Bananas, platains",Bananas and tropical,PULPA MANZANA,Food
"Vegetables, Other",2605.0,p2605,p033,"Vegetables production, Other",tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Vegetables,Artichoke,Tomatoes,PULPA MANZANA,Food
Acorns,2108.0,p2108,p128,Acorns production,tonnes,Primary crops,grass,grass,"Vegetables, fruit, nuts, pulses, spices",Acorns,Holm oak,Foragge,BELLOTA DECORTICADA,Food
Grapes and products (excl wine),2620.0,p2620,p043,Grapes production,tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Grapes,Grapevine,Grapes and sim.,ORUJO UVA,Food
Beans,2546.0,p2546,p017,Beans production,tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Pulses,Beans,Beans,VEZA COMUN,Food
Peas,2547.0,p2547,p018,Peas production,tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Pulses,Pea,Pulses,GUISANTES PRIMAVERA,Food
"Pulses, Other and products",2549.0,p2549,p019,"Pulses production, Other",tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Pulses,Chickpea,Pulses,YEROS,Food
Nuts and products,2551.0,p2551,p020,Nuts production,tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Treenuts,Almonds,Nuts,GARROFA,Food
Tomatoes and products,2601.0,p2601,p031,Tomatoes production,tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Vegetables,Tomato,Tomatoes,PULPA MANZANA,Food
Grapefruit and products,2613.0,p2613,p036,Grapefruit production,tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Citrus,Grapefruit,Oranges,PULPA CÍTRICOS (NARANJA+MANDARINA),Food
Apples and products,2617.0,p2617,p040,Apples production,tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Fruits,Apple,Apples and sim.,PULPA MANZANA,Food
Pepper,2640.0,p2640,p049,Pepper production,tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Spices,"Spices, Other",Species,PULPA CÍTRICOS (NARANJA+MANDARINA),Food
Flowers,2690.0,p2690,p126,Flowers production,tonnes,Primary crops,,,"Vegetables, fruit, nuts, pulses, spices",Other,Flowers,Species,PULPA CÍTRICOS (NARANJA+MANDARINA),Food
"Lemons, Limes and products",2612.0,p2612,p035,"Lemons, Limes production",tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Citrus,Lemon,Lemons,PULPA CÍTRICOS (NARANJA+MANDARINA),Food
"Citrus, Other",2614.0,p2614,p037,"Citrus production, Other",tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Citrus,Citrus,Oranges,PULPA CÍTRICOS (NARANJA+MANDARINA),Food
Pineapples and products,2618.0,p2618,p041,Pineapples production,tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Fruits,Pineapple,Fruits Processed,PULPA CÍTRICOS (NARANJA+MANDARINA),Food
"Oranges, Mandarines",2611.0,p2611,p034,"Oranges, Mandarines production",tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Citrus,Mandarin,Oranges,PULPA CÍTRICOS (NARANJA+MANDARINA),Food
"Fruits, Other",2625.0,p2625,p044,"Fruits production, Other",tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Fruits,Apricot,Fruits Processed,PULPA MANZANA,Food
Pimento,2641.0,p2641,p050,Pimento production,tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Spices,"Chili pepper and peppers, dry",Species,PULPA MANZANA,Food
Hops,677.0,p677,p048,Hops production,tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Spices,Hop,Species,PULPA MANZANA,Food
"Spices, Other",2645.0,p2645,p052,"Spices production, Other",tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Spices,Anise,Species,PULPA MANZANA,Food
Miscellaneous,2899.0,#N/A,#N/A,#N/A,tonnes,Primary crops,,,"Vegetables, fruit, nuts, pulses, spices",Other,0,Processed Food,PULPA MANZANA,Food
Onions,2602.0,p2602,p032,Onions production,tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Vegetables,Onion,Onions,PULPA MANZANA,Food
Dates,2619.0,p2619,p042,Dates production,tonnes,Primary crops,crops,crops,"Vegetables, fruit, nuts, pulses, spices",Fruits,Dates,Fruits Processed,PULPA MANZANA,Feed
Scavenging,3500.0,p3500,p127,Scavenging production,tonnes,Scavenging,scavenging,scavenging,Grassland,Scavenging,Grass,Foragge,Ray-grass verde TERCERA,Feed
