Year,area,item_prod,item_cbs,item_cbs_crop,Name_biomass,Product_residue,Prod_ygpit_Mg,Area_ygpit_ha
2015,United States of America,Cantaloupes and other melons,Other crop residues,"Vegetables, Other",Melon,Residue,181478.22,NA
1978,Indonesia,Tomatoes,Other crop residues,Tomatoes and products,Tomato,Residue,104174.862792,NA
1978,Ivory Coast,"Cassava, fresh",Cassava and products,Cassava and products,Cassava,Product,1056936,204046
1974,Thailand,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Pimento,Pimento,"Chili pepper and peppers, dry",Product,59800,31536
2007,Albania,Cantaloupes and other melons,"Vegetables, Other","Vegetables, Other",Melon,Product,40000,1800
2011,United Kingdom,Cherries,"Fruits, Other","Fruits, Other",Cherries,Product,1501,550
1979,"China, mainland","Other beans, green","Vegetables, Other","Vegetables, Other","Beans, green",Product,1180000,130000
1983,Liberia,Sweet potatoes,Other crop residues,Sweet potatoes,Sweet potato,Residue,11724.9156825,NA
1971,Uruguay,Green corn (maize),Other crop residues,"Vegetables, Other","Vegetables, other",Residue,1535.0344835400135,NA
1993,Japan,Bananas,Firewood,Bananas,"Bananas, platains",Residue,814.176,NA
1998,Belgium-Luxembourg,Oats,Straw,Oats,Oats,Residue,31772.961224307695,NA
1971,Central African Republic,Cocoa beans,Cocoa Beans and products,Cocoa Beans and products,Cocoa beans,Product,30,1100
2014,Croatia,Green corn (maize),"Vegetables, Other","Vegetables, Other","Vegetables, other",Product,1015614,28794
2000,Belgium,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Vegetables, Other","Vegetables, Other",Pepper,Product,17770,100
1988,Fiji,"Coffee, green",Coffee and products,Coffee and products,Coffee,Product,63,212
2011,Egypt,Sunflower seed,Sunflower seed,Sunflower seed,Sunflower seed,Product,18942,7552
2018,Serbia,Peaches and nectarines,Firewood,"Fruits, Other",Peach,Residue,13082.414973902836,NA
1999,Japan,Barley,Straw,Barley and products,Barley,Residue,297792.13597759383,NA
1983,Uruguay,"Pumpkins, squash and gourds",Other crop residues,"Vegetables, Other","Squash, pumpkin",Residue,2083.418181818182,NA
1968,Nicaragua,Bananas,Firewood,Bananas,"Bananas, platains",Residue,82593,NA
1991,France,Sunflower seed,Sunflower seed,Sunflower seed,Sunflower seed,Product,2610871.9,1069745
2021,Kuwait,"Broad beans and horse beans, green",Other crop residues,"Vegetables, Other","Pea, green, with pod",Residue,619.911144,NA
1986,Panama,Avocados,"Fruits, Other","Fruits, Other",Avocado,Product,2015,590
2010,Cameroon,"Chestnuts, in shell",Firewood,Nuts and products,Chestnut,Residue,190.22857142857143,NA
2003,Colombia,"Peas, green","Vegetables, Other","Vegetables, Other","Pea, green, with pod",Product,37138.9413922365,32899.6870985507
2020,Myanmar,Sunflower seed,Sunflower seed,Sunflower seed,Sunflower seed,Product,210394,239610
1998,Belgium-Luxembourg,Carrots and turnips,"Vegetables, Other","Vegetables, Other",Carrot,Product,130800,2900
2000,Germany,Carrots for fodder,Other crop residues,Fodder vegetables and roots,"Carrot, for fodder",Residue,0,NA
2007,Antigua and Barbuda,Taro,"Roots, Other","Roots, Other","Roots, other",Product,42.94,11
1983,Ireland,Tomatoes,Other crop residues,Tomatoes and products,Tomato,Residue,14465.858073333337,NA
2007,Mexico,"Onions and shallots, green","Vegetables, Other","Vegetables, Other",Onion,Product,80000,7000
2019,Cameroon,Apricots,"Fruits, Other","Fruits, Other",Apricot,Product,924.25,179
1969,Turkey,Leeks and other alliaceous vegetables,"Vegetables, Other","Vegetables, Other",Leek,Product,272299,29000
1989,Honduras,"Pepper (Piper spp.), raw",Other crop residues,Pepper,"Spices, Other",Residue,1168.1600000000003,NA
2007,Bosnia and Herzegovina,"Forage and silage, alfalfa",Other crop residues,Fodder legumes,Alfalfa,Residue,0,NA
2004,Saint Vincent and the Grenadines,"Other stimulant, spice and aromatic crops, n.e.c.","Spices, Other","Spices, Other","Spices, Other",Product,610,215
1982,Burundi,Potatoes,Other crop residues,Potatoes and products,Potato,Residue,19073.25,NA
1998,Guatemala,Sugar cane,Other crop residues,Sugar cane,Sugarcane,Residue,7072030.944000001,NA
1963,Denmark,Carrots for fodder,Other crop residues,Fodder vegetables and roots,"Carrot, for fodder",Residue,0,NA
1997,Serbia and Montenegro,"Forage and silage, legumes",Other crop residues,Fodder legumes,Other legumes for green fodder,Residue,0,NA
1987,Togo,Sweet potatoes,Sweet potatoes,Sweet potatoes,Sweet potato,Product,4127,792
2021,Senegal,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Other crop residues,Pimento,"Chili pepper and peppers, dry",Residue,1191.65807607,NA
1986,Sierra Leone,Sesame seed,Sesame seed,Sesame seed,"Oilcrops, other",Product,1800,3300
1983,"China, mainland",Pomelos and grapefruits,Firewood,Grapefruit and products,Grapefruit,Residue,4051.425143256687,NA
1988,Ecuador,Grapes,Firewood,Grapes and products (excl wine),Grapevine,Residue,75.64745531463755,NA
2010,Barbados,"Other fruits, n.e.c.","Fruits, Other","Fruits, Other",Fruits,Product,1034.54,91
2020,Uruguay,Rice,Straw,Rice and products,Rice,Residue,1160640,NA
1971,Cambodia,Sugar cane,Sugar cane,Sugar cane,Sugarcane,Product,263000,3700
2021,Guinea-Bissau,"Seed cotton, unginned",Seed cotton,Seed cotton,Seed cotton,Product,5232.5,4899
1994,Israel,Maize (corn),Maize and products,Maize and products,Maize,Product,65792,6350
2010,Burundi,"Peas, dry",Straw,Peas,Pea,Residue,19468.13760655523,NA
2001,Lao,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Pimento,Pimento,"Chili pepper and peppers, dry",Product,5000,1560
1981,Yemen,Pears,Firewood,"Fruits, Other",Pear,Residue,33.99651894179894,NA
1962,Congo,Tomatoes,Tomatoes and products,Tomatoes and products,Tomato,Product,3000,420
1988,Jamaica,Cucumbers and gherkins,Other crop residues,"Vegetables, Other",Cucumber,Residue,1791.798,NA
1966,Egypt,"Peas, green","Vegetables, Other","Vegetables, Other","Pea, green, with pod",Product,32231,4208
2013,Tanzania,Coconuts,Firewood,Coconuts,Coconut,Residue,294872.7272727272,NA
2017,Mexico,"Peppermint, spearmint",Other crop residues,"Spices, Other",Peppermint,Residue,69.4,NA
1985,Mauritius,"Ginger, raw","Spices, Other","Spices, Other","Spices, Other",Product,280,90
2004,Switzerland,Green garlic,"Vegetables, Other","Vegetables, Other",Garlic,Product,9,2
1999,Timor-Leste,Rice,Straw,Rice and products,Rice,Residue,45475.76925,NA
1973,Spain,Lettuce and chicory,Other crop residues,"Vegetables, Other",Lettuce,Residue,101539.30877999998,NA
1978,Mexico,"Other tropical fruits, n.e.c.","Fruits, Other","Fruits, Other",Fruits,Product,237592,24978
1969,Angola,Millet,Straw,Millet and products,Millet,Residue,262762.50000000006,NA
2018,Madagascar,"Groundnuts, excluding shelled",Other crop residues,Groundnuts,"Groundnuts, with shell",Residue,133140.34124999994,NA
2020,Senegal,Oil palm fruit,"Oil, palm fruit","Oil, palm fruit",Oil palm,Product,124918.94,11346
1997,Austria,"Forage and silage, alfalfa",Fodder legumes,Fodder legumes,Alfalfa,Product,221910.122211277,9000
2004,Ukraine,"Peas, dry",Peas,Peas,Pea,Product,636300,258200
1975,New Zealand,"Broad beans and horse beans, green","Vegetables, Other","Vegetables, Other","Pea, green, with pod",Product,427,256
1979,United States of America,Asparagus,"Vegetables, Other","Vegetables, Other",Asparagus,Product,86681,32642
2011,Croatia,Sour cherries,Firewood,"Fruits, Other",Berries nes,Residue,2351.6651246316483,NA
1997,Portugal,Kiwi fruit,"Fruits, Other","Fruits, Other",Kiwifruit,Product,10459,1133
2021,French Polynesia,"Other tropical fruits, n.e.c.","Fruits, Other","Fruits, Other",Fruits,Product,2114.95,203
1977,Spain,Carrots and turnips,Other crop residues,"Vegetables, Other",Carrot,Residue,71102.69021478,NA
1979,Mexico,Cocoa beans,Cocoa Beans and products,Cocoa Beans and products,Cocoa beans,Product,37754,66328
2000,Czech Republic,Potatoes,Other crop residues,Potatoes and products,Potato,Residue,258298.6,NA
1994,Solomon Islands,"Other vegetables, fresh n.e.c.",Other crop residues,"Vegetables, Other","Vegetables, other",Residue,2461.113756587912,NA
2013,Madagascar,"Coffee, green",Coffee and products,Coffee and products,Coffee,Product,51627.54,96780
2001,"China, mainland","Broad beans and horse beans, green",Other crop residues,"Vegetables, Other","Pea, green, with pod",Residue,74665.60000000002,NA
2008,Nepal,"Other stimulant, spice and aromatic crops, n.e.c.",Other crop residues,"Spices, Other","Spices, Other",Residue,50769.0225,NA
1969,RoW,Lettuce and chicory,Other crop residues,"Vegetables, Other",Lettuce,Residue,4309.188237,NA
1961,Argentina,Lupins,"Pulses, Other and products","Pulses, Other and products",Lupin,Product,300,400
2007,Cyprus,"Almonds, in shell",Firewood,Nuts and products,Almonds,Residue,1220.6374603174606,NA
2015,North Korea,"Other fruits, n.e.c.","Fruits, Other","Fruits, Other",Fruits,Product,547035.54,128105
1988,Tanzania,Sesame seed,Other crop residues,Sesame seed,"Oilcrops, other",Residue,57609.89692497744,NA
1998,Somalia,Sugar cane,Sugar cane,Sugar cane,Sugarcane,Product,190000,6000
1997,Portugal,"Forage and silage, sorghum",Fodder cereal and grasses,Fodder cereal and grasses,"Sorghum, green",Product,25395.9742107322,1050.82039696552
1978,El Salvador,Coconuts,Firewood,Coconuts,Coconut,Residue,26565.058036363636,NA
1987,Algeria,"Onions and shallots, dry (excluding dehydrated)",Onions,Onions,Onion,Product,200190,23520
1968,Japan,Cabbages,"Vegetables, Other","Vegetables, Other","Cabbage, Broccoli",Product,3383500,97300
2021,Estonia,Gooseberries,"Fruits, Other","Fruits, Other",Berries nes,Product,140,139
1997,Indonesia,"Abaca, manila hemp, raw",Other crop residues,Abaca,"Fibres, other",Residue,460.9613780941558,NA
2005,Ethiopia,Potatoes,Potatoes and products,Potatoes and products,Potato,Product,449996,61812
2010,Ethiopia,Peaches and nectarines,"Fruits, Other","Fruits, Other",Peach,Product,126.16,25
2016,Uganda,Millet,Straw,Millet and products,Millet,Residue,620687.3750000001,NA
1988,RoW,"Onions and shallots, dry (excluding dehydrated)",Other crop residues,Onions,Onion,Residue,56671.84723871512,NA
1988,Guinea-Bissau,Sorghum,Sorghum and products,Sorghum and products,Sorghum,Product,16313,9935
1987,Papua New Guinea,"Other stimulant, spice and aromatic crops, n.e.c.",Other crop residues,"Spices, Other","Spices, Other",Residue,588.8575,NA
1975,Austria,Apples,Apples and products,Apples and products,Apple,Product,303746,16681.825810501
1985,Cabo Verde,"Coffee, green",Coffee and products,Coffee and products,Coffee,Product,30,180
1992,Panama,"Onions and shallots, dry (excluding dehydrated)",Onions,Onions,Onion,Product,14478,600
1979,Cyprus,"Other vegetables, fresh n.e.c.",Other crop residues,"Vegetables, Other","Vegetables, other",Residue,7310.225493917271,NA
1990,Cameroon,Plums and sloes,"Fruits, Other","Fruits, Other",Plum,Product,200,32
1979,South Africa,Mixed Grasses and Legumes,Other crop residues,Fodder mix,Cereal-legume mixture,Residue,0,NA
1999,Turkey,Cherries,Firewood,"Fruits, Other",Cherries,Residue,103639.42150681552,NA
2002,Chile,"Other fruits, n.e.c.","Fruits, Other","Fruits, Other",Fruits,Product,12201.07,2268
2018,Kenya,"Cassava, fresh",Other crop residues,Cassava and products,Cassava,Residue,611769.9565197249,NA
1999,Croatia,Vegetables and roots fodder,Other crop residues,Fodder vegetables and roots,"Fodder, other",Residue,0,NA
1992,Sweden,Cauliflowers and broccoli,Other crop residues,"Vegetables, Other",Cauliflower,Residue,2165.5567359999995,NA
2019,Rwanda,"Other vegetables, fresh n.e.c.","Vegetables, Other","Vegetables, Other","Vegetables, other",Product,73536.59,10335
2006,Dominican Republic,Oranges,Firewood,"Oranges, Mandarines",Orange,Residue,27223.0650432,NA
1999,Saint Vincent and the Grenadines,Unmanufactured tobacco,Other crop residues,Tobacco,Tobacco,Residue,28.112,NA
1988,Canada,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",Other crop residues,"Vegetables, Other",Pepper,Residue,12532.95758250832,NA
