Year,area,item_prod,item_cbs,item_cbs_crop,Name_biomass,Product_residue,Prod_ygpit_Mg,Area_ygpit_ha
1998,South Africa,"Kenaf, and other textile bast fibres, raw or retted",Jute-Like Fibres,Jute-Like Fibres,"Fibres, other",Product,1100,1122
2008,Central African Republic,Sugar cane,Sugar cane,Sugar cane,Sugarcane,Product,95000,13200
1977,New Zealand,"Other citrus fruit, n.e.c.","Citrus, Other","Citrus, Other",Citrus,Product,2784,447
1998,Ecuador,Rice,Rice and products,Rice and products,Rice,Product,1042992,325329
2016,Colombia,"Broad beans and horse beans, dry",Straw,"Pulses, Other and products",Fava bean,Residue,3125.7107981238214,NA
1979,Albania,Vetches,Straw,"Pulses, Other and products",Vetch,Residue,3498.74,NA
2009,Nepal,"Seed cotton, unginned",Seed cotton,Seed cotton,Seed cotton,Product,59,100
1986,Tanzania,"Cow peas, dry",Straw,"Pulses, Other and products",Pulses nes,Residue,38440.66626689442,NA
1967,Nigeria,"Other vegetables, fresh n.e.c.",Other crop residues,"Vegetables, Other","Vegetables, other",Residue,663861.8514091792,NA
1989,Rwanda,Maize (corn),Maize and products,Maize and products,Maize,Product,95000,80000
2015,United Kingdom,Temporary grassland,Firewood,Temporary grassland,Grass,Residue,0,NA
1980,Germany,"Forage and silage, alfalfa",Fodder legumes,Fodder legumes,Alfalfa,Product,4720474.88603258,173465.775
2011,Malawi,"Onions and shallots, dry (excluding dehydrated)",Onions,Onions,Onion,Product,49000,2500
2002,Cambodia,"Mangoes, guavas and mangosteens",Firewood,"Fruits, Other",Fruits,Residue,16188.482992120264,NA
1992,Poland,Turnips for fodder,Fodder vegetables and roots,Fodder vegetables and roots,"Turnip, for fodder",Product,9978170.89578441,190700
1977,"China, mainland",Rye,Rye and products,Rye and products,Rye,Product,1200000,1100000
1994,Lao,"Nutmeg, mace, cardamoms, raw",Other crop residues,"Spices, Other","Spices, Other",Residue,8016.75,NA
2016,Philippines,Cocoa beans,Cocoa Beans and products,Cocoa Beans and products,Cocoa beans,Product,6262.77,14816
2017,"China, mainland","Onions and shallots, dry (excluding dehydrated)",Other crop residues,Onions,Onion,Residue,11771851.314542769,NA
1971,Guyana,"Groundnuts, excluding shelled",Other crop residues,Groundnuts,"Groundnuts, with shell",Residue,139.14432,NA
1966,Ghana,Other pulses n.e.c.,"Pulses, Other and products","Pulses, Other and products",Pulses nes,Product,10000,100000
1984,Angola,Sweet potatoes,Sweet potatoes,Sweet potatoes,Sweet potato,Product,170000,19000
1990,"China, Hong Kong SAR",Sweet potatoes,Other crop residues,Sweet potatoes,Sweet potato,Residue,207.50885999999997,NA
1977,Lebanon,"Beans, dry",Straw,Beans,Beans,Residue,129.17566321741407,NA
2008,Senegal,"Onions and shallots, dry (excluding dehydrated)",Onions,Onions,Onion,Product,150000,4000
1966,Ecuador,Lettuce and chicory,"Vegetables, Other","Vegetables, Other",Lettuce,Product,18726,900
2019,Chad,"Seed cotton, unginned",Other crop residues,Seed cotton,Seed cotton,Residue,128199.0611464968,NA
1987,Morocco,Sweet potatoes,Sweet potatoes,Sweet potatoes,Sweet potato,Product,10000,650
1968,Ecuador,"Lentils, dry",Straw,"Pulses, Other and products",Lentils,Residue,629.0003200000002,NA
2018,Algeria,"Seed cotton, unginned",Other crop residues,Seed cotton,Seed cotton,Residue,50.140127388535035,NA
2020,Finland,Asparagus,"Vegetables, Other","Vegetables, Other",Asparagus,Product,10,30
1976,Lao,"Beans, dry",Straw,Beans,Beans,Residue,358.0971651592679,NA
2011,RoW,"Pumpkins, squash and gourds","Vegetables, Other","Vegetables, Other","Squash, pumpkin",Product,251833.09,16281
2012,Nigeria,Kola nuts,Nuts and products,Nuts and products,Nuts nes,Product,135000,225000
1963,South Africa,"Kenaf, and other textile bast fibres, raw or retted",Jute-Like Fibres,Jute-Like Fibres,"Fibres, other",Product,2300,2300
1973,Vanuatu,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Roots, Other","Roots, Other","Roots, other",Product,28400,1450
1993,RoW,Beets for fodder,Other crop residues,Fodder vegetables and roots,Fodder beet,Residue,0,NA
1994,Somalia,Coconuts,Coconuts,Coconuts,Coconut,Product,7000,2074
1984,Dominican Republic,Lemons and limes,Firewood,"Lemons, Limes and products",Lemon,Residue,1501.7398685253677,NA
2008,Tanzania,"Ginger, raw","Spices, Other","Spices, Other","Spices, Other",Product,50,22
1998,Tunisia,Eggplants (aubergines),Other crop residues,"Vegetables, Other",Aubergine,Residue,118.2599276544,NA
2002,Albania,Green garlic,"Vegetables, Other","Vegetables, Other",Garlic,Product,6700,1000
1983,Mexico,"Other vegetables, fresh n.e.c.",Other crop residues,"Vegetables, Other","Vegetables, other",Residue,34837.554696042505,NA
1982,South Africa,Chicory roots,"Vegetables, Other","Vegetables, Other",Chicory roots,Product,19956,7800
1996,Tanzania,Lemons and limes,"Lemons, Limes and products","Lemons, Limes and products",Lemon,Product,219.25,43
1997,Kazakhstan,"Broad beans and horse beans, green",Other crop residues,"Vegetables, Other","Pea, green, with pod",Residue,10594.34865,NA
1965,Panama,Cocoa beans,Cocoa Beans and products,Cocoa Beans and products,Cocoa beans,Product,700,3600
1977,Spain,Chicory roots,"Vegetables, Other","Vegetables, Other",Chicory roots,Product,34201,1305
1999,Australia,Lemons and limes,"Lemons, Limes and products","Lemons, Limes and products",Lemon,Product,29294,1380
2015,Tajikistan,Sunflower seed,Sunflower seed,Sunflower seed,Sunflower seed,Product,13577,5992
1981,New Zealand,Cabbage for fodder,Other crop residues,Fodder vegetables and roots,Fodder cabbage,Residue,0,NA
2019,Puerto Rico,Tomatoes,Other crop residues,Tomatoes and products,Tomato,Residue,14366.799066666666,NA
1970,Venezuela,Tomatoes,Tomatoes and products,Tomatoes and products,Tomato,Product,86984,5759
1975,Colombia,Rice,Rice and products,Rice and products,Rice,Product,1622230,381450
1989,Egypt,Eggplants (aubergines),"Vegetables, Other","Vegetables, Other",Aubergine,Product,364000,16803
1964,Pakistan,"Tangerines, mandarins, clementines",Firewood,"Oranges, Mandarines",Mandarin,Residue,29246.761786600495,NA
1982,Suriname,"Other citrus fruit, n.e.c.",Firewood,"Citrus, Other",Citrus,Residue,84.02775856196673,NA
1964,Bangladesh,Rape or colza seed,Other crop residues,Rape and Mustardseed,Rape,Residue,197245.1875002,NA
1968,Tanzania,Soya beans,Other crop residues,Soyabeans,Soyabeans,Residue,277.24519265625,NA
1974,South Africa,"Other fibre crops, raw, n.e.c.","Hard Fibres, Other","Hard Fibres, Other","Fibres, other",Product,2000,2000
1984,South Africa,Mixed Grasses and Legumes,Fodder mix,Fodder mix,Cereal-legume mixture,Product,28100000,1183098.34119088
1961,Somalia,"Mangoes, guavas and mangosteens","Fruits, Other","Fruits, Other",Fruits,Product,500,100
2009,Montenegro,Unmanufactured tobacco,Other crop residues,Tobacco,Tobacco,Residue,95.2,NA
2016,Spain,"Chick peas, dry","Pulses, Other and products","Pulses, Other and products",Chickpea,Product,37420,33708
1993,Tunisia,"Beans, dry",Beans,Beans,Beans,Product,1800,2000
1999,Costa Rica,Lemons and limes,Firewood,"Lemons, Limes and products",Lemon,Residue,161.46516200410937,NA
1975,Indonesia,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Roots, Other","Roots, Other","Roots, other",Product,430000,86000
1979,Ivory Coast,Sugar cane,Other crop residues,Sugar cane,Sugarcane,Residue,275890.6829571428,NA
1997,Congo,"Other fruits, n.e.c.","Fruits, Other","Fruits, Other",Fruits,Product,21000,4529
2007,Lesotho,Wheat,Straw,Wheat and products,Wheat,Residue,11148.308432539405,NA
1963,Honduras,Sesame seed,Other crop residues,Sesame seed,"Oilcrops, other",Residue,1147.2125859313478,NA
1979,Dominican Republic,"Other stimulant, spice and aromatic crops, n.e.c.","Spices, Other","Spices, Other","Spices, Other",Product,850,1500
1977,RoW,Cantaloupes and other melons,"Vegetables, Other","Vegetables, Other",Melon,Product,307541,34737
1997,Lebanon,Pomelos and grapefruits,Grapefruit and products,Grapefruit and products,Grapefruit,Product,22700,1065
1996,"China, mainland","Pistachios, in shell",Nuts and products,Nuts and products,Pistachios,Product,28000,16806
1979,Albania,Apples,Apples and products,Apples and products,Apple,Product,15000,2967.03296703297
1986,Netherlands,Maize (corn),Straw,Maize and products,Maize,Residue,1394.340196226415,NA
1988,Antigua and Barbuda,"Cassava, fresh",Other crop residues,Cassava and products,Cassava,Residue,25.028486645000005,NA
2017,Kazakhstan,Mushrooms and truffles,Other crop residues,"Vegetables, Other",Mushrooms,Residue,NA,NA
1968,Spain,Oats,Straw,Oats,Oats,Residue,655016.2094457692,NA
1969,Guinea,Sorghum,Sorghum and products,Sorghum and products,Sorghum,Product,25000,20000
1998,Mali,Bananas,Firewood,Bananas,"Bananas, platains",Residue,92918.26850399998,NA
1996,Israel,Quinces,"Fruits, Other","Fruits, Other",Quince,Product,1300,23
1979,Bolivia,Soya beans,Other crop residues,Soyabeans,Soyabeans,Residue,81481.65195300002,NA
1992,Brazil,"Jute, raw or retted",Jute,Jute,"Fibres, other",Product,3244,2553
2016,Brazil,Soya beans,Other crop residues,Soyabeans,Soyabeans,Residue,179558246.01975,NA
1994,Namibia,Wheat,Wheat and products,Wheat and products,Wheat,Product,6300,1200
1994,Czech Republic,"Onions and shallots, dry (excluding dehydrated)",Other crop residues,Onions,Onion,Residue,36622.97411052347,NA
2010,Sweden,Currants,"Fruits, Other","Fruits, Other",Berries nes,Product,330,330
2007,Sweden,Leeks and other alliaceous vegetables,"Vegetables, Other","Vegetables, Other",Leek,Product,3100,100
1989,Tunisia,"Pumpkins, squash and gourds","Vegetables, Other","Vegetables, Other","Squash, pumpkin",Product,50000,1850
2003,Ghana,Plantains and cooking bananas,Plantains,Plantains,"Bananas, platains",Product,2328600,286500
1995,Thailand,"Cashew nuts, in shell",Nuts and products,Nuts and products,Nuts nes,Product,19734.46,19127
2008,Niger,Dates,Dates,Dates,Dates,Product,16589,5582
2018,Belarus,Potatoes,Other crop residues,Potatoes and products,Potato,Residue,3078770.625,NA
2007,United States of America,Mushrooms and truffles,"Vegetables, Other","Vegetables, Other",Mushrooms,Product,359630,852.411586539088
1985,Paraguay,"Beans, dry",Straw,Beans,Beans,Residue,17704.138622802573,NA
2007,Romania,Sunflower seed,Sunflower seed,Sunflower seed,Sunflower seed,Product,546922,748545
2009,Cuba,Oranges,"Oranges, Mandarines","Oranges, Mandarines",Orange,Product,261000,31907
1989,Trinidad and Tobago,Cauliflowers and broccoli,"Vegetables, Other","Vegetables, Other",Cauliflower,Product,178,28
2017,Guinea-Bissau,"Cassava, fresh",Cassava and products,Cassava and products,Cassava,Product,49403.07,4949
1965,Ivory Coast,"Brazil nuts, in shell",Firewood,Nuts and products,Nuts nes,Residue,4993.499999999999,NA
1991,USSR,"Seed cotton, unginned",Seed cotton,Seed cotton,Seed cotton,Product,7800000,3008600
2008,Latvia,Leeks and other alliaceous vegetables,"Vegetables, Other","Vegetables, Other",Leek,Product,186,70
2012,Iran,"Tangerines, mandarins, clementines","Oranges, Mandarines","Oranges, Mandarines",Mandarin,Product,615469.5,34944
1997,United States of America,Eggplants (aubergines),Other crop residues,"Vegetables, Other",Aubergine,Residue,17654.359083899995,NA
2021,Ireland,Other berries and fruits of the genus vaccinium n.e.c.,Firewood,"Fruits, Other",Berries nes,Residue,23.885641464438557,NA
1995,Portugal,Eggplants (aubergines),"Vegetables, Other","Vegetables, Other",Aubergine,Product,6031.84,1100
1988,Thailand,Oranges,Firewood,"Oranges, Mandarines",Orange,Residue,74973.59123904002,NA
1985,Solomon Islands,Oil palm fruit,Firewood,"Oil, palm fruit",Oil palm,Residue,290437.7075526316,NA
1964,Saint Vincent and the Grenadines,"Nutmeg, mace, cardamoms, raw",Other crop residues,"Spices, Other","Spices, Other",Residue,245.8400000000001,NA
2014,Israel,"Forage and silage, grasses nes",Fodder cereal and grasses,Fodder cereal and grasses,Other true grasses for fodder,Product,1069966.61483972,23584.3430494255
1965,Turkey,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Other crop residues,"Spices, Other","Spices, Other",Residue,2900.6775000000007,NA
1974,Ivory Coast,Fonio,Other crop residues,"Cereals, Other","Roots, other",Residue,3547.2806477399995,NA
2020,Bolivia,"Broad beans and horse beans, dry",Straw,"Pulses, Other and products",Fava bean,Residue,6528.091224322154,NA
1999,Algeria,Carrots and turnips,"Vegetables, Other","Vegetables, Other",Carrot,Product,214857,18270
2004,Dominican Republic,"Sisal, raw",Other crop residues,Sisal,"Fibres, other",Residue,258.6363636363637,NA
2011,Greece,Rye,Rye and products,Rye and products,Rye,Product,32156.33,13955
1997,France,"Forage and silage, clover",Other crop residues,Fodder legumes,Clover,Residue,0,NA
1978,Iran,Cantaloupes and other melons,Other crop residues,"Vegetables, Other",Melon,Residue,143905.41000000003,NA
2015,Niger,Unmanufactured tobacco,Tobacco,Tobacco,Tobacco,Product,1484.99,600
2002,Lebanon,Cherries,"Fruits, Other","Fruits, Other",Cherries,Product,33600,8112
1964,United Kingdom,Rye,Rye and products,Rye and products,Rye,Product,25401,8498
1970,Turkey,Dates,Dates,Dates,Dates,Product,1400,630
1966,Somalia,Sesame seed,Sesame seed,Sesame seed,"Oilcrops, other",Product,15500,36000
2002,Romania,Cereals n.e.c.,"Cereals, Other","Cereals, Other",Cereals nes,Product,1660,1754
1993,Uzbekistan,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Other crop residues,Pimento,"Chili pepper and peppers, dry",Residue,754.1113641266098,NA
1976,Colombia,Wheat,Straw,Wheat and products,Wheat,Residue,79777.52451012877,NA
1981,Pakistan,"Kenaf, and other textile bast fibres, raw or retted",Jute-Like Fibres,Jute-Like Fibres,"Fibres, other",Product,6889,10822
2020,Poland,"Other beans, green",Other crop residues,"Vegetables, Other","Beans, green",Residue,61560,NA
1999,Grenada,Plums and sloes,"Fruits, Other","Fruits, Other",Plum,Product,660,180
1977,Brazil,Strawberries,"Fruits, Other","Fruits, Other",Strawberry,Product,550,85.25
2016,Canada,Cantaloupes and other melons,"Vegetables, Other","Vegetables, Other",Melon,Product,17723,660
2021,Greece,Kiwi fruit,Firewood,"Fruits, Other",Kiwifruit,Residue,101893.7401633987,NA
1976,Turkey,Oranges,"Oranges, Mandarines","Oranges, Mandarines",Orange,Product,545000,27250
2005,Nicaragua,Sugar cane,Other crop residues,Sugar cane,Sugarcane,Residue,1472106.728571429,NA
1963,Malaysia,"Groundnuts, excluding shelled",Other crop residues,Groundnuts,"Groundnuts, with shell",Residue,8632.574999999999,NA
1990,Morocco,"Peas, dry",Peas,Peas,Pea,Product,63270,69600
1999,Cyprus,Other pulses n.e.c.,Straw,"Pulses, Other and products",Pulses nes,Residue,34.16219515223618,NA
1983,Denmark,Carrots for fodder,Other crop residues,Fodder vegetables and roots,"Carrot, for fodder",Residue,0,NA
2003,Colombia,Cantaloupes and other melons,Other crop residues,"Vegetables, Other",Melon,Residue,8696.424,NA
2001,Paraguay,Soya beans,Other crop residues,Soyabeans,Soyabeans,Residue,6540164.4993750015,NA
1975,Burundi,Bananas,Bananas,Bananas,"Bananas, platains",Product,1262800,200000
2004,Norway,"Forage and silage, rye grass",Other crop residues,Fodder cereal and grasses,Ryegrass,Residue,0,NA
1967,Romania,Rye,Straw,Rye and products,Rye,Residue,112932.421875,NA
2002,Uruguay,Olives,Firewood,Olives (including preserved),Olive,Residue,2813.814072225569,NA
1978,Ethiopia,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Pimento,Pimento,"Chili pepper and peppers, dry",Product,105000,250000
1992,Malta,Cauliflowers and broccoli,Other crop residues,"Vegetables, Other",Cauliflower,Residue,1201.4448947199996,NA
1961,France,"Forage and silage, sorghum",Fodder cereal and grasses,Fodder cereal and grasses,"Sorghum, green",Product,10341972.1634091,386800
2013,Panama,Unmanufactured tobacco,Tobacco,Tobacco,Tobacco,Product,2671.21,1443
2011,Spain,Carrots and turnips,Other crop residues,"Vegetables, Other",Carrot,Residue,243997.0527176991,NA
2007,Guyana,Cashewapple,"Fruits, Other","Fruits, Other",Fruits,Product,5.03,1
1998,Czech Republic,Mixed grain,Straw,"Cereals, Other",Cereals nes,Residue,9065.826000000005,NA
2007,Hungary,"Cow peas, dry","Pulses, Other and products","Pulses, Other and products",Pulses nes,Product,9.38,9
1995,Fiji,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Vegetables, Other","Vegetables, Other",Pepper,Product,400,100
1975,Austria,Turnips for fodder,Other crop residues,Fodder vegetables and roots,"Turnip, for fodder",Residue,0,NA
1962,Cameroon,Cocoa beans,Cocoa Beans and products,Cocoa Beans and products,Cocoa beans,Product,76000,380000
2018,Madagascar,Sugar cane,Sugar cane,Sugar cane,Sugarcane,Product,3150468.03,96672
1981,United Kingdom,Hop cones,Hops,Hops,Hop,Product,9000,6000
2016,Yemen,"Seed cotton, unginned",Other crop residues,Seed cotton,Seed cotton,Residue,7512.871337579617,NA
1997,Croatia,"Peas, dry",Peas,Peas,Pea,Product,577,3041
2006,Tanzania,Sorghum,Sorghum and products,Sorghum and products,Sorghum,Product,711631,715884
1986,Lebanon,"Beans, dry",Beans,Beans,Beans,Product,2950,1550
2017,Austria,Apples,Apples and products,Apples and products,Apple,Product,185244,3164.29293298179
1984,Suriname,Bananas,Firewood,Bananas,"Bananas, platains",Residue,52133.5848,NA
2019,United States of America,Green garlic,"Vegetables, Other","Vegetables, Other",Garlic,Product,173658,9996
1988,Indonesia,"Coffee, green",Coffee and products,Coffee and products,Coffee,Product,391095,716656
1977,Central African Republic,Lemons and limes,Firewood,"Lemons, Limes and products",Lemon,Residue,188.70436699857757,NA
2019,Djibouti,Cantaloupes and other melons,"Vegetables, Other","Vegetables, Other",Melon,Product,174.85,8
1996,Jordan,"Onions and shallots, green","Vegetables, Other","Vegetables, Other",Onion,Product,5815,476
1967,Hungary,"Forage and silage, legumes",Fodder legumes,Fodder legumes,Other legumes for green fodder,Product,544962.210014154,27681.1642711785
2000,Angola,Sorghum,Straw,Sorghum and products,Sorghum,Residue,44249.147727272735,NA
2008,Greece,Cucumbers and gherkins,Other crop residues,"Vegetables, Other",Cucumber,Residue,27984.58775,NA
2005,Kazakhstan,Vegetables and roots fodder,Fodder vegetables and roots,Fodder vegetables and roots,"Fodder, other",Product,13000,1502.21151605731
2008,Costa Rica,Leeks and other alliaceous vegetables,"Vegetables, Other","Vegetables, Other",Leek,Product,60,6
1967,Fiji,Potatoes,Potatoes and products,Potatoes and products,Potato,Product,100,40
1992,Rwanda,"Groundnuts, excluding shelled",Other crop residues,Groundnuts,"Groundnuts, with shell",Residue,14031.36,NA
2001,Rwanda,Lemons and limes,Firewood,"Lemons, Limes and products",Lemon,Residue,126.64722617354197,NA
1992,Togo,"Groundnuts, excluding shelled",Groundnuts,Groundnuts,"Groundnuts, with shell",Product,32066,41081
1985,Papua New Guinea,Bananas,Firewood,Bananas,"Bananas, platains",Residue,520642.5,NA
2008,Malta,Leeks and other alliaceous vegetables,"Vegetables, Other","Vegetables, Other",Leek,Product,238,12
1975,Benin,Unmanufactured tobacco,Other crop residues,Tobacco,Tobacco,Residue,582.1694999999999,NA
1975,Dominican Republic,"Other vegetables, fresh n.e.c.",Other crop residues,"Vegetables, Other","Vegetables, other",Residue,3809.3686631967257,NA
2000,Bangladesh,Castor oil seeds,Other crop residues,"Oilcrops, Other","Oilcrops, other",Residue,245.9472062857143,NA
2001,Russian Federation,Sugar beet,Sugar beet,Sugar beet,Sugar beet,Product,14552677,731830
2015,"China, mainland","Cassava, fresh",Other crop residues,Cassava and products,Cassava,Residue,3087026.560814975,NA
2005,El Salvador,Soya beans,Soyabeans,Soyabeans,Soyabeans,Product,3534.51,1700
2001,Ecuador,"Mangoes, guavas and mangosteens","Fruits, Other","Fruits, Other",Fruits,Product,88924,10007
1996,Zimbabwe,"Other stimulant, spice and aromatic crops, n.e.c.","Spices, Other","Spices, Other","Spices, Other",Product,1300,1600
1991,Liberia,Tomatoes,Tomatoes and products,Tomatoes and products,Tomato,Product,30.58,4
2021,Colombia,Lemons and limes,"Lemons, Limes and products","Lemons, Limes and products",Lemon,Product,469349.37,36987
1997,Mozambique,Pomelos and grapefruits,Grapefruit and products,Grapefruit and products,Grapefruit,Product,17000,2200
2008,Sao Tome and Principe,Bananas,Bananas,Bananas,"Bananas, platains",Product,32814.24,3518
2003,Serbia and Montenegro,Raspberries,"Fruits, Other","Fruits, Other",Raspberries,Product,79471,16421
1961,Chad,Sorghum,Straw,Sorghum and products,Sorghum,Residue,1849171.883522728,NA
1998,Thailand,Green corn (maize),"Vegetables, Other","Vegetables, Other","Vegetables, other",Product,199810,28217
1993,RoW,"Pigeon peas, dry","Pulses, Other and products","Pulses, Other and products",Pulses nes,Product,260,390
1971,Turkey,"Chick peas, dry","Pulses, Other and products","Pulses, Other and products",Chickpea,Product,133000,110000
2007,Albania,"Chestnuts, in shell",Firewood,Nuts and products,Chestnut,Residue,6605.158730158731,NA
2019,Bolivia,Sweet potatoes,Other crop residues,Sweet potatoes,Sweet potato,Residue,2984.2700475,NA
2016,Hungary,Safflower seed,"Oilcrops, Other","Oilcrops, Other",Safflower,Product,6,7
1987,Grenada,"Cassava, fresh",Other crop residues,Cassava and products,Cassava,Residue,82.76305265499998,NA
1972,Bolivia,"Groundnuts, excluding shelled",Other crop residues,Groundnuts,"Groundnuts, with shell",Residue,22266.258,NA
2017,Kenya,"Groundnuts, excluding shelled",Groundnuts,Groundnuts,"Groundnuts, with shell",Product,19272.5,12407
1971,Papua New Guinea,"Groundnuts, excluding shelled",Other crop residues,Groundnuts,"Groundnuts, with shell",Residue,3676.8375,NA
2006,Zambia,"Seed cotton, unginned",Other crop residues,Seed cotton,Seed cotton,Residue,83501.64458598725,NA
2019,United States of America,Lemons and limes,Firewood,"Lemons, Limes and products",Lemon,Residue,127913.69843527736,NA
2002,Cuba,"Cassava, fresh",Cassava and products,Cassava and products,Cassava,Product,532000,63300
1980,Italy,"Forage and silage, grasses nes",Other crop residues,Fodder cereal and grasses,Other true grasses for fodder,Residue,0,NA
1976,Libya,"Broad beans and horse beans, dry","Pulses, Other and products","Pulses, Other and products",Fava bean,Product,6660,5947
1989,New Zealand,Turnips for fodder,Other crop residues,Fodder vegetables and roots,"Turnip, for fodder",Residue,0,NA
1975,Germany,Tomatoes,Other crop residues,Tomatoes and products,Tomato,Residue,50331.74486666666,NA
1998,Italy,Persimmons,Firewood,"Fruits, Other",Persimmon,Residue,19666.645598327366,NA
2017,India,Green garlic,Other crop residues,"Vegetables, Other",Garlic,Residue,152370,NA
2011,Croatia,Olives,Firewood,Olives (including preserved),Olive,Residue,25505.330651406937,NA
2003,Colombia,Cantaloupes and other melons,"Vegetables, Other","Vegetables, Other",Melon,Product,32941,1835
2003,Bulgaria,Apples,Apples and products,Apples and products,Apple,Product,38372,4711
1996,Niger,Unmanufactured tobacco,Other crop residues,Tobacco,Tobacco,Residue,1407.186,NA
1962,Jordan,Eggplants (aubergines),"Vegetables, Other","Vegetables, Other",Aubergine,Product,52600,3820
1974,France,"Forage and silage, grasses nes",Other crop residues,Fodder cereal and grasses,Other true grasses for fodder,Residue,0,NA
2004,Tunisia,Spinach,Other crop residues,"Vegetables, Other",Spinach,Residue,1027.0434782608695,NA
1979,Zimbabwe,Millet,Straw,Millet and products,Millet,Residue,467582.5,NA
1976,Indonesia,"Other fruits, n.e.c.","Fruits, Other","Fruits, Other",Fruits,Product,173000,32000
2015,Japan,"Cow peas, dry","Pulses, Other and products","Pulses, Other and products",Pulses nes,Product,23136.2467866324,23316.1953727506
1998,Italy,Linum,Linum,Linum,"Fibres, other",Product,2678.34,3000
1988,Honduras,"Cashew nuts, in shell",Nuts and products,Nuts and products,Nuts nes,Product,300,1100
1993,Bosnia and Herzegovina,"Almonds, in shell",Nuts and products,Nuts and products,Almonds,Product,140,350
2015,Togo,"Bambara beans, dry",Straw,"Pulses, Other and products",Pulses nes,Residue,11464.048556340147,NA
1991,Bahamas,Sugar cane,Other crop residues,Sugar cane,Sugarcane,Residue,17982.000000000007,NA
1991,Peru,Strawberries,"Fruits, Other","Fruits, Other",Strawberry,Product,8352,1093
1989,Israel,Grapes,Grapes and products (excl wine),Grapes and products (excl wine),Grapevine,Product,95600,5110
2019,Poland,Sour cherries,Firewood,"Fruits, Other",Berries nes,Residue,51327.17747238706,NA
2011,Poland,Buckwheat,Straw,"Cereals, Other",Cereals nes,Residue,127854.375,NA
2006,Tunisia,Figs,"Fruits, Other","Fruits, Other",Figs,Product,25000,18380
1963,Zimbabwe,"Other vegetables, fresh n.e.c.",Other crop residues,"Vegetables, Other","Vegetables, other",Residue,52775.62835470462,NA
2010,Togo,Cabbages,"Vegetables, Other","Vegetables, Other","Cabbage, Broccoli",Product,688.18,56
2006,Sudan,"Mangoes, guavas and mangosteens","Fruits, Other","Fruits, Other",Fruits,Product,803000,35280
2003,Malta,Apricots,Firewood,"Fruits, Other",Apricot,Residue,15.579399691451515,NA
2000,Malta,Artichokes,Other crop residues,"Vegetables, Other",Artichoke,Residue,910.97685,NA
2006,Canada,Green corn (maize),"Vegetables, Other","Vegetables, Other","Vegetables, other",Product,242663,22347
2001,Cuba,"Sisal, raw",Sisal,Sisal,"Fibres, other",Product,160,950
2016,Spain,Lemons and limes,Firewood,"Lemons, Limes and products",Lemon,Residue,134468.11454717876,NA
1994,Mali,Cucumbers and gherkins,Other crop residues,"Vegetables, Other",Cucumber,Residue,2699.271792,NA
2003,Armenia,Apples,Firewood,Apples and products,Apple,Residue,17719.46281352871,NA
1981,Poland,"Beans, dry",Beans,Beans,Beans,Product,37793,18122
1978,South Africa,Cucumbers and gherkins,"Vegetables, Other","Vegetables, Other",Cucumber,Product,21549,1200
2007,Malawi,Tomatoes,Tomatoes and products,Tomatoes and products,Tomato,Product,40000,4500
2007,Sri Lanka,"Other vegetables, fresh n.e.c.",Other crop residues,"Vegetables, Other","Vegetables, other",Residue,41003.621027464746,NA
1981,Cameroon,Other pulses n.e.c.,"Pulses, Other and products","Pulses, Other and products",Pulses nes,Product,1000,1600
2005,South Africa,Cherries,"Fruits, Other","Fruits, Other",Cherries,Product,385,156
2006,Dominican Republic,"Onions and shallots, dry (excluding dehydrated)",Other crop residues,Onions,Onion,Residue,21096.71511798004,NA
1978,Burkina Faso,"Other stimulant, spice and aromatic crops, n.e.c.","Spices, Other","Spices, Other","Spices, Other",Product,4900,2722.22222222222
2009,Slovakia,"Walnuts, in shell",Firewood,Nuts and products,Walnut,Residue,1237.4999999999998,NA
2015,Malawi,Pineapples,Firewood,Pineapples and products,Pineapple,Residue,590370.5769230769,NA
2016,Papua New Guinea,Other berries and fruits of the genus vaccinium n.e.c.,Firewood,"Fruits, Other",Berries nes,Residue,33868.65207118825,NA
1996,Greece,"Chestnuts, in shell",Nuts and products,Nuts and products,Chestnut,Product,12534.38,7929
1994,Georgia,"Peppermint, spearmint","Spices, Other","Spices, Other",Peppermint,Product,85,3.77833469189545
1994,Belgium-Luxembourg,Carrots and turnips,Other crop residues,"Vegetables, Other",Carrot,Residue,72154.33822067974,NA
1969,Denmark,Tomatoes,Tomatoes and products,Tomatoes and products,Tomato,Product,21133,124
2015,Malawi,"Other vegetables, fresh n.e.c.","Vegetables, Other","Vegetables, Other","Vegetables, other",Product,226727.52,69011
1997,Jamaica,Spinach,"Vegetables, Other","Vegetables, Other",Spinach,Product,13513,875
2009,Tunisia,"Other stimulant, spice and aromatic crops, n.e.c.",Other crop residues,"Spices, Other","Spices, Other",Residue,7659.708,NA
1964,South Korea,Castor oil seeds,Other crop residues,"Oilcrops, Other","Oilcrops, other",Residue,2419.0605945100547,NA
