original_name,polity_code,start_year,end_year
Republic of Moldova,MDA-1991-,1991,2025
Madagascar,MDG--,1882,2025
Maldives,MDV-1965-,1965,2025
Mexico,MEX--,1800,2025
North Macedonia,MKD-1991-,1992,2025
Mali,MLI-1960-,1961,2025
Malta,MLT-1964-,1964,2025
Myanmar,MMR-1948-,1961,2025
Montenegro,MNE--1913,1878,1913
Montenegro,MNE-2006-,2006,2025
Mongolia,MNG-1921-,1921,2025
Mozambique,MOZ-1975-,1975,2025
Mauritania,MRT-1979-,1979,2025
Mauritius,MUS-1968-,1968,2025
Malawi,MWI-1964-,1964,2025
Malaysia,MYS-1965-,1965,2025
Namibia,NAM-1990-,1990,2025
Niger,NER-1960-,1961,2025
Nigeria,NGA-1961-,1961,2025
Nicaragua,NIC--,1800,2025
Netherlands (Kingdom of the),NLD--,1961,2025
"Netherlands, Kingdom of the",NLD--,1970,2025
Norway,NOR-1905-,1905,2025
Nepal,NPL--,1800,2025
New Zealand,NZL-1907-,1961,2025
Korea,OKO--1910,1800,1910
Oman,OMN--,1800,2025
Pakistan,PAK-1971-,1971,2025
Panama,PAN-1903-,1906,2025
Peru,PER--1909,1825,1909
Peru,PER-1942-,1961,2025
Philippines,PHL-1946-,1946,2025
Papua New Guinea,PNG-1975-,1975,2025
Poland,POL-1918-1919,1918,1919
Poland,POL-1945-,1961,2025
Democratic People's Republic of Korea,PRK-1948-,1961,2025
"Korea, Democratic People's Republic of",PRK-1948-,1970,2025
Portugal,PRT--,1800,2025
Paraguay,PRY--1938,1811,1938
Paraguay,PRY-1938-,1961,2025
Qatar,QAT-1971-,1971,2025
Romania,ROU--1913,1859,1913
Romania,ROU-1940-,1961,2025
Russian Federation,RUS-2014-,2014,2025
Rwanda,RWA-1962-,1962,2025
Saudi Arabia,SAU-2000-,2000,2025
Serbia and Montenegro,SCG-1992-2006,1992,2006
Sudan,SDN-2011-,2011,2025
Senegal,SEN-1960-,1961,2025
Serbia/Yugoslavia,SER--1913,1816,1913
Singapore,SGP-1965-,1965,2025
Solomon Islands,SLB-1978-,1978,2025
Sierra Leone,SLE-1961-,1961,2025
El Salvador,SLV--,1821,2025
Somalia,SOM-1960-,1961,2025
