polity_name,start_year,end_year,population,notes
Puerto Rico,1800,1938,2431,since 1901 trade of Porto Rico is included in the United States  statistics.
St. Lucía,1800,1838,49,British Windward colony after 1833
St Martin and St Barthélemy,1816,1878,2,population 1870; 1878-1938 part of Guadaloupe
St Pierre & Miquelon,1800,1938,4,NA
St. Vincent,1800,1833,42,British Windward colony after 1833
Trinidad and Tobago,1800,1938,340,Tobago independent colony until 1889
Turks and Caicos Islands,1800,1938,NA,NA
United States,1800,1938,97225,NA
Vancouver´s Island,1849,1866,NA,Joint estimate with Canada
Uruguay,1828,1938,1189,until 1814 Spanish colony (Viceroyalty Rio de la Plata); 1816-1825 Brazil;
Venezuela,1821,1938,2443,until 1821 Spanish colony (viceroyalty New granada)
Abu Dhabi,1800,1938,NA,NA
Aden,1839,1938,48,NA
Afghanistan,1800,1938,5799,NA
Ajman,1800,1938,NA,NA
Badakhshan,1800,1873,NA,1873-1938 Afghanistan; joint estimate with Afghanistan
Bahrain,1800,1938,104,NA
Bhutan,1800,1938,250,NA
Bonin island,1846,1873,NA,1876-1938 Japan; joint estimate with Japan
British Malaya,1922,1938,2776,"Created 1922 unifying Strait Settlements, Federated Malay states and Unfederated Malay States (all Briish colonies or protectorates)"
Brunei,1800,1938,23,NA
Bukhara,1800,1920,NA,1920-1938 USSR
Burma (Myammar),1800,1938,NA,Joint estimate with India
Ceylon (Sri Lanka),1800,1938,4262,NA
China,1800,1938,437140,NA
Danish India,1800,1845,NA,1846-1938 British India
Dutch East Indies (Indonesia),1800,1938,48751,NA
Federated Malay States,1895,1922,NA,1922-1938 British Malaya; Joint estimate with British Malaya
Formosa (Taiwan),1896,1938,3477,1800-1895 China
French India,1800,1938,280,NA
French Indochina,1887,1938,17400,NA
Fujairah,1886,1938,NA,1816-1886 Sharjah
Herat,1800,1862,NA,1863-1938 Afghanistan; joint estimate with Afghanistan
Hong-Kong,1841,1938,500,1816-1839 China
India,1800,1938,315876,NA
Iraq,1921,1938,2613,1800-1918 Ottoman Empire
Japan,1800,1938,51672,NA
Jordan,1918,1938,NA,1800-1918 Ottoman Empire; joint estimate with Palestine
Khiva,1800,1873,NA,1873-1938 Russia and Soviet Union
Kiautchou,1898,1922,175,1800-1898 and 1922-1938 China; joint estimate with China
Kokand,1800,1883,NA,1873-1938 Russia and Soviet Union
Korea,1800,1938,15486,NA
Kuwait,1800,1938,50,population in 1920
Kwang-Chou-Wan,1898,1938,206,population in 1926; 1800-1898 and 1922-1938 China; joint estimate with China
Kwantung (Port Arthur),1898,1938,596,"1800-1898  China, 1898-1905 Russia, 1905-1938 Japan"
Maldive,1800,1938,72,NA
Manchukuo,1932,1938,NA,1800-1932 China
Mongolia,1911,1938,725,1800-1911 China
Nepal,1800,1938,5639,NA
North Yemen,1918,1938,3236,1871-1918 Ottoman Empire; 1918-1938 Included with Saudi Arabia
Oman,1800,1938,444,NA
Ottoman Empire/Turkey,1800,1938,24000,NA
Palestine/Jordan,1918,1938,730,population in 1920; 1800-1918 Ottoman Empire
Persia (Iran),1800,1938,10994,NA
Philippines,1800,1938,9384,NA
Portuguese India,1800,1938,550,NA
Quatar,1800,1938,13,1871-1916 Ottoman Empire
Ras al Khaimah,1919,1938,NA,1900-1919 Sharjah
Sabah (British Borneo),1888,1938,210,1816-1888 Brunei
Sarawak,1841,1938,500,NA
Saudi Arabia,1924,1938,2676,1800-1918 Ottoman Empire
Sharjah,1800,1938,NA,NA
Siam (Thailand),1800,1938,8689,NA
Sikkim,1800,1938,NA,NA
Straits Settlement,1826,1922,NA,1922-1938 British Malaya; joint estimate with British Malaya
Syria and Lebanon,1918,1938,2104,population 1919; 1800-1918 Ottoman Empire
Tibet,1800,1938,NA,Estimated inside China
Timor,1800,1938,345,NA
Umm al Qawain,1892,1938,NA,NA
