polity_name,polity_code
Europe,F5400-1800-2025
"Europe, Northern America, Australia and New Zealand",EUR-1800-2025
European Union (27),F5707-1800-2025
"FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1)",F99029-1800-2025
"FAO Major Fishing Area: Atlantic, Northeast (14.4.1)",F99024-1800-2025
"FAO Major Fishing Area: Atlantic, Northwest (14.4.1)",F99023-1800-2025
"FAO Major Fishing Area: Atlantic, Southeast (14.4.1)",F99026-1800-2025
"FAO Major Fishing Area: Atlantic, Southwest (14.4.1)",F99030-1800-2025
"FAO Major Fishing Area: Atlantic, Western Central (14.4.1)",F99028-1800-2025
"FAO Major Fishing Area: Indian Ocean, Eastern (14.4.1)",F99025-1800-2025
"FAO Major Fishing Area: Indian Ocean, Western (14.4.1)",F99027-1800-2025
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1),F99032-1800-2025
"FAO Major Fishing Area: Pacific, Eastern Central (14.4.1)",F99018-1800-2025
"FAO Major Fishing Area: Pacific, Northeast (14.4.1)",F99019-1800-2025
"FAO Major Fishing Area: Pacific, Northwest (14.4.1)",F99020-1800-2025
"FAO Major Fishing Area: Pacific, Southeast (14.4.1)",F99031-1800-2025
"FAO Major Fishing Area: Pacific, Southwest (14.4.1)",F99022-1800-2025
"FAO Major Fishing Area: Pacific, Western Central (14.4.1)",F99021-1800-2025
Falkland Islands,FLK-1833-2025
Faroe Islands,FRO-1800-2025
Federal Republic of Germany,F78-1800-1990
Federal Republic of Germany (1949-1990),GER-1949-1990
Federated Malay States,FED-1895-1922
Fiji,FJI-1874-2025
Finland,FIN-1917-2025
Finland (1917-1940),FIN-1917-1940
Formosa (Taiwan),FOR-1896-2025
France,FRA-1800-2025
France (to 1919),FRA-1800-1919
"France, Metropolitan",FRA-1800-1982
French Equatorial Africa,FRE-1910-2025
French Guiana,GUF-1800-2025
French India,FRE-1800-2025
French Indochina,FID-1887-2025
French Polynesia,PYF-1800-2025
French Settlements in Oceania,FRE-1844-2025
French Somaliland,FSO-1887-2025
French Southern Territories,ATF-1800-2025
French West Africa,FRE-1895-2025
Fujairah,FUJ-1886-2025
Gabon,GAB-1800-2025
Gambia,GMB-1800-2025
Gambier Island,GAM-1881-1903
Gaza Strip,GAZ-1800-1982
Georgia,GEO-1991-2025
German Democratic Republic,F77-1800-1990
German Democratic Republic (1949-1990),GER-1949-1990
"German Democratic Republic, Berlin",GEB-1800-1982
German East Africa (Tanganyika),GEA-1884-2025
German West Africa,GWA-1884-1914
German colonies Oceania,GER-1884-2025
Germany,DEU-1990-2025
Germany (1919-1920),GER-1919-1920
Germany (1920-1938),GER-1920-1938
